rank,convergence_bonus,idf_floor,idf_threshold,conv_idf_power,min_idf_threshold,min_idf_penalty,recall_at_500,recall_at_100,found_at_500,found_at_100,total_gold
65,0.5,0.2,2.0,3.0,0.0,1.0,0.2065,0.0847,178,73,862
66,0.75,0.2,1.5,1.0,0.0,1.0,0.2065,0.0847,178,73,862
67,0.75,0.2,2.0,1.0,0.0,1.0,0.2065,0.0847,178,73,862
68,0.75,0.2,1.5,2.0,0.0,1.0,0.2065,0.0835,178,72,862
69,0.0,0.05,1.0,1.0,0.0,1.0,0.2065,0.0824,178,71,862
70,0.0,0.05,1.0,2.0,0.0,1.0,0.2065,0.0824,178,71,862
71,0.0,0.05,1.0,3.0,0.0,1.0,0.2065,0.0824,178,71,862
72,0.5,0.05,1.0,2.0,0.0,1.0,0.2065,0.0824,178,71,862
73,0.5,0.2,1.5,3.0,0.0,1.0,0.2065,0.0824,178,71,862
74,0.5,0.05,1.0,3.0,0.0,1.0,0.2065,0.0812,178,70,862
75,0.5,0.05,0.5,1.0,0.0,1.0,0.2053,0.0974,177,84,862
76,0.5,0.05,0.5,2.0,0.0,1.0,0.2053,0.0974,177,84,862
77,0.5,0.05,0.5,3.0,0.0,1.0,0.2053,0.0974,177,84,862
78,0.0,0.2,2.0,1.0,0.0,1.0,0.2053,0.0893,177,77,862
79,0.0,0.2,2.0,2.0,0.0,1.0,0.2053,0.0893,177,77,862
80,0.0,0.2,2.0,3.0,0.0,1.0,0.2053,0.0893,177,77,862
81,0.0,0.1,1.5,1.0,0.0,1.0,0.2053,0.0835,177,72,862
82,0.0,0.1,1.5,2.0,0.0,1.0,0.2053,0.0835,177,72,862
83,0.0,0.1,1.5,3.0,0.0,1.0,0.2053,0.0835,177,72,862
84,0.5,0.05,1.0,1.0,0.0,1.0,0.2053,0.0835,177,72,862
85,0.0,0.05,1.5,1.0,0.0,1.0,0.2053,0.0824,177,71,862
86,0.0,0.05,1.5,2.0,0.0,1.0,0.2053,0.0824,177,71,862
87,0.0,0.05,1.5,3.0,0.0,1.0,0.2053,0.0824,177,71,862
88,0.25,0.1,1.5,1.0,0.0,1.0,0.2053,0.0812,177,70,862
89,1.0,0.2,1.5,3.0,0.0,1.0,0.2053,0.0812,177,70,862
90,0.5,0.1,1.5,2.0,0.0,1.0,0.2042,0.0812,176,70,862
91,0.75,0.2,1.5,3.0,0.0,1.0,0.2042,0.0812,176,70,862
92,0.25,0.05,0.5,1.0,0.0,1.0,0.2030,0.0974,175,84,862
93,0.25,0.05,0.5,2.0,0.0,1.0,0.2030,0.0974,175,84,862
94,0.25,0.05,0.5,3.0,0.0,1.0,0.2030,0.0974,175,84,862
