rank,score,channels,quotation_run_tokens,bible_ref,bible_text,shenoute_ref,shenoute_text,label,notes
21,98.39,"lemma, exact, quotation, rare_word, syntax, sound",11,sahidic.baruch.2.2,ϫⲉⲉⲣⲉⲡϫⲟⲉⲓⲥ ⲉⲓⲛⲉ ⲛⲛⲉⲓⲛⲟϭ ⲙⲡⲉⲧϩⲟⲟⲩ ⲉϫⲱⲛ ⲛⲁⲓ ⲉⲙⲡⲟⲩϣⲱⲡⲉ ϩⲙⲡⲕⲁϩ ⲧⲏⲣϥ ⲕⲁⲧⲁⲛⲉⲛⲧⲁϥⲁⲁⲩ ϩⲛⲧϩⲓⲏⲙ ⲕⲁⲧⲁⲛⲉⲧⲥⲏϩ ⲧⲏⲣⲟⲩ ϩⲙⲡⲛⲟⲙⲟⲥ ⲙⲙⲱⲩⲥⲏⲥ,shenoute.abraham.205,ⲕⲁⲧⲁⲛⲉⲧⲥⲏϩ ⲧⲏⲣⲟⲩ ϩⲙⲡⲛⲟⲙⲟⲥ ⲙⲙⲱⲩⲥⲏⲥ ·,,
22,97.99,"lemma, exact, quotation, rare_word, syntax, sound",11,sahidic.genesis.9.2,ⲧⲉⲧⲛϩⲟⲧⲉ ⲙⲛⲡⲉⲧⲛⲥⲧⲱⲧ ⲉⲥⲉϣⲱⲡⲉ ⲉϩⲣⲁⲓ ⲉϫⲛⲛⲉⲑⲏⲣⲓⲟⲛ ⲧⲏⲣⲟⲩ ⲙⲡⲕⲁϩ ⲁⲩⲱ ⲉϫⲛⲛⲧⲃⲛⲟⲟⲩⲉ ⲛⲧⲥⲱϣⲉ ⲙⲛⲛϩⲁⲗⲁⲧⲉ ⲧⲏⲣⲟⲩ ⲛⲧⲡⲉ ⲁⲩⲱ ⲉϫⲛⲛⲉⲧⲕⲓⲙ ⲧⲏⲣⲟⲩ ϩⲓϫⲙⲡⲕⲁϩ ⲁⲩⲱ ⲉϫⲛⲛⲧⲃⲧ ⲧⲏⲣⲟⲩ ⲛⲧⲑⲁⲗⲁⲥⲥⲁ ⲁⲓϯ ⲙⲙⲟⲟⲩ ϩⲁⲛⲉⲧⲛϭⲓϫ,shenoute.abraham.166,ⲛⲉϩⲟⲟⲩ ⲙⲛⲛⲉⲥⲟⲟⲩ · ⲙⲛⲛⲕⲉⲧⲃⲛⲟⲟⲩⲉ ⲧⲏⲣⲟⲩ ⲛⲧⲥⲱϣⲉ · ⲙⲛⲛϩⲁⲗⲁⲧⲉ ⲧⲏⲣⲟⲩ ⲛⲧⲡⲉ ·,,
23,97.14,"lemma, exact, quotation, rare_word, syntax, sound, edit_distance",10,sahidica.matthew.10.16,[Sahidica text omitted per license; see sahidica.matthew.10.16],shenoute.abraham.136,ⲁⲩⲱ ϯϫⲟⲟⲩ ⲙⲙⲱⲧⲛ ⲛⲧϩⲉ ⲛϩⲉⲛⲉⲥⲟⲟⲩ ⲛⲧⲙⲏⲧⲉ ⲛϩⲉⲛⲟⲩⲱⲛϣ,,
24,97.14,"lemma, exact, quotation, rare_word, syntax, sound, edit_distance",10,sahidica.matthew.10.16,[Sahidica text omitted per license; see sahidica.matthew.10.16],shenoute.abraham.22,ⲁⲩⲱ ϯϫⲟⲟⲩ ⲙⲙⲱⲧⲛ ⲛⲧϩⲉ ⲛϩⲉⲛⲉⲥⲟⲟⲩ ⲛⲧⲙⲏⲧⲉ ⲛϩⲉⲛⲟⲩⲱⲛϣ :,,
25,90.47,"lemma, exact, quotation, rare_word, syntax, sound",9,sahidic.genesis.1.27,ⲁⲡⲛⲟⲩⲧⲉ ⲧⲁⲙⲓⲟ ⲙⲡⲣⲱⲙⲉ ⲕⲁⲧⲁⲧϩⲓⲕⲱⲛ ⲙⲡⲛⲟⲩⲧⲉ ⲁϥⲧⲁⲙⲓⲟⲟⲩ ⲟⲩϩⲟⲟⲩⲧ ⲙⲛⲟⲩⲥϩⲓⲙⲉ ⲁϥⲧⲁⲙⲓⲟⲟⲩ,shenoute.abraham.173,ⲟⲩϩⲟⲟⲩⲧ ⲙⲛⲟⲩⲥϩⲓⲙⲉ ⲁϥⲧⲁⲙⲓⲟⲟⲩ ⲛϭⲓⲡⲛⲟⲩⲧⲉ ⲕⲁⲧⲁⲧϩⲉ ⲉⲧⲥⲏϩ ·,,
26,87.49,"lemma, exact, quotation, rare_word, syntax, sound",12,sahidica.john.15.20,[Sahidica text omitted per license; see sahidica.john.15.20],shenoute.abraham.25,ⲉϣϫⲉ ⲁⲩϩⲁⲣⲉϩ ⲉⲡⲁϣⲁϫⲉ ⲥⲉⲛⲁϩⲁⲣⲉϩ ⲟⲛ ⲉⲡⲱⲧⲛ :,,
27,87.49,"lemma, exact, quotation, rare_word, syntax, sound",12,sahidica.john.15.20,[Sahidica text omitted per license; see sahidica.john.15.20],shenoute.abraham.139,ⲉϣϫⲉ ⲁⲩϩⲁⲣⲉϩ ⲉⲡⲁϣⲁϫⲉ ⲥⲉⲛⲁϩⲁⲣⲉϩ ⲟⲛ ⲉⲡⲱⲧⲛ ·,,
28,85.4,"lemma, exact, quotation, rare_word, syntax, sound",9,sahidica.luke.10.3,[Sahidica text omitted per license; see sahidica.luke.10.3],shenoute.abraham.136,ⲁⲩⲱ ϯϫⲟⲟⲩ ⲙⲙⲱⲧⲛ ⲛⲧϩⲉ ⲛϩⲉⲛⲉⲥⲟⲟⲩ ⲛⲧⲙⲏⲧⲉ ⲛϩⲉⲛⲟⲩⲱⲛϣ,,
29,85.39,"lemma, exact, quotation, rare_word, syntax, sound",9,sahidica.luke.10.3,[Sahidica text omitted per license; see sahidica.luke.10.3],shenoute.abraham.22,ⲁⲩⲱ ϯϫⲟⲟⲩ ⲙⲙⲱⲧⲛ ⲛⲧϩⲉ ⲛϩⲉⲛⲉⲥⲟⲟⲩ ⲛⲧⲙⲏⲧⲉ ⲛϩⲉⲛⲟⲩⲱⲛϣ :,,
30,83.76,"lemma, exact, quotation, rare_word, syntax, sound",9,sahidic.genesis.5.2,ⲟⲩϩⲟⲟⲩⲧ ⲙⲛⲟⲩⲥϩⲓⲙⲉ ⲁϥⲧⲁⲙⲓⲟⲟⲩ ⲁϥⲥⲙⲟⲩ ⲉⲣⲟⲟⲩ ⲁϥⲙⲟⲩⲧⲉ ⲉⲡⲉϥⲣⲁⲛ ϫⲉⲁⲇⲁⲙ ⲙⲡⲉϩⲟⲟⲩ ⲛⲧⲁϥⲧⲁⲙⲓⲟⲟⲩ,shenoute.abraham.173,ⲟⲩϩⲟⲟⲩⲧ ⲙⲛⲟⲩⲥϩⲓⲙⲉ ⲁϥⲧⲁⲙⲓⲟⲟⲩ ⲛϭⲓⲡⲛⲟⲩⲧⲉ ⲕⲁⲧⲁⲧϩⲉ ⲉⲧⲥⲏϩ ·,,
31,80.34,"lemma, exact, quotation, rare_word, syntax, sound",9,sahidic.isaiah.56.5,ϯⲛⲁϫⲓⲧⲟⲩ ⲉϩⲟⲩⲛ ⲉⲡⲁⲧⲟⲟⲩ ⲉⲧⲟⲩⲁⲁⲃ ⲁⲩⲱ ϯⲛⲁϯ ⲛⲁⲩ ϩⲙⲡⲁⲏⲓ ⲁⲩⲱ ϩⲙⲡⲁⲥⲟⲃⲧ ⲛⲟⲩⲙⲁ ⲉϥⲥⲟⲧⲡ ⲁⲩⲱ ⲛⲥⲟⲉⲓⲧ ⲉⲛⲁⲛⲟⲩϥ ⲉϣⲏⲣⲉ ϩⲓϣⲉⲉⲣⲉ ⲟⲩⲣⲁⲛ ⲛϣⲁ ⲉⲛⲉϩ ϯⲛⲁⲧⲁⲁϥ ⲛⲁⲩ ⲁⲩⲱ ⲛⲛⲉϥⲱϫⲛ,shenoute.abraham.97,ϫⲉⲡϫⲟⲉⲓⲥ ⲛⲁϯ ⲛⲛⲉⲥⲓ....ⲟⲩⲙⲁ ...ⲟⲧⲡ · ...ⲛⲥⲟⲉⲓⲧ ⲉⲛⲁⲛⲟⲩϥ ⲉϣⲏⲣⲉ ϩⲓϣⲉⲉⲣⲉ ·,,
32,79.76,"lemma, exact, quotation, rare_word, syntax, sound",8,sahidic.genesis.21.2,ⲁⲥⲁⲣⲣⲁ ⲱⲱ ⲁⲥϫⲡⲟ ⲛⲟⲩϣⲏⲣⲉ ⲛⲁⲃⲣⲁϩⲁⲙ ϩⲛⲧⲉϥⲙⲛⲧϩⲗⲗⲟ ϩⲙⲡⲉⲟⲩⲟⲉⲓϣ ⲕⲁⲧⲁⲧϩⲉ ⲛⲧⲁⲡϫⲟⲉⲓⲥ ϫⲟⲟⲥ ⲛⲁϥ,shenoute.abraham.30,ⲁⲩⲱ ⲧⲁⲓ ⲧⲉ ⲧϩⲉ ⲛⲧⲁⲡϫⲟⲉⲓⲥ ⲡⲛⲟⲩⲧⲉ ϯ ⲛⲟⲩϣⲏⲣⲉ ⲛⲁⲃⲣⲁϩⲁⲙ ϩⲛⲧⲉϥⲙⲛⲧϩⲗⲗⲟ ·,,
33,79.07,"lemma, exact, quotation, rare_word, syntax, sound, edit_distance",8,sahidic.jeremiah.51.4,ⲁⲩⲱ ⲁⲉⲓⲧⲛⲛⲟⲟⲩ ϣⲁⲣⲱⲧⲛ ⲛⲛⲁϩⲙϩⲁⲗ ⲛⲉⲡⲣⲟⲫⲏⲧⲏⲥ ⲛϣⲟⲣⲡ ⲁⲉⲓⲧⲛⲛⲟⲟⲩⲥⲉ ⲉⲉⲓϫⲱ ⲙⲙⲟⲥ ϫⲉⲙⲡⲣⲉⲓⲣⲉ ⲙⲡϩⲱⲃ ⲙⲡⲉⲓⲧⲱⲗⲙ ⲡⲁⲓ ⲉⲛⲧⲁⲓⲙⲉⲥⲧⲱϥ,shenoute.abraham.128,ⲕⲁⲧⲁⲛⲉⲅⲣⲁⲫⲏ · ϫⲉⲁⲓⲧⲛⲛⲟⲟⲩ ϣⲁⲣⲱⲧⲛ ⲛⲛⲁϩⲙϩⲁⲗ ⲛⲉⲡⲣⲟⲫⲏⲧⲏⲥ ⲙⲡⲉϩⲟⲟⲩ ⲙⲡⲛⲁⲩ ⲛϣⲱⲣⲡ ⲁⲩⲱ ⲁⲓⲧⲛⲛⲟⲟⲩⲥⲉ · ⲁⲩⲱ ⲙⲡⲉⲧⲛⲥⲱⲧⲙ ·,,
