coptic,greek
ⲁⲕⲁⲕⲓⲁ,ακακια
ⲁⲕⲁⲕⲓⲁⲥ,ακακια
ⲁⲕⲁⲕⲟⲥ,ακακος
ⲁⲕⲁⲛⲁⲅⲧⲏⲥⲓⲥ,αγανακτησις
ⲁⲕⲁⲣⲡⲟⲥ,ακαρπος
ⲁⲕⲁⲧⲁⲅⲛⲱⲥⲧⲟⲥ,ακαταγνωστος
ⲁⲕⲉⲣⲁⲓⲟⲛ,ακεραιος
ⲁⲕⲉⲣⲁⲓⲟⲥ,ακεραιος
ⲁⲕⲗⲏⲧⲟⲛ,ακλητος
ⲁⲕⲙⲏ,ακμη
ⲁⲕⲙⲏⲛ,ακμην
ⲁⲕⲟⲗⲗⲟⲩⲑⲓⲁ,ακολουθια
ⲁⲕⲟⲗⲟⲩⲑⲏⲥⲓⲥ,ακολουθησις
ⲁⲕⲟⲗⲟⲩⲑⲓⲁ,ακολουθια
ⲁⲕⲣⲁⲧⲟⲛ,ακρατος
ⲁⲕⲣⲓⲃⲁⲍⲉ,ακριβαζω
ⲁⲕⲣⲓⲃⲏⲥ,ακριβης
ⲁⲕⲣⲓⲃⲓⲁ,ακριβεια
ⲁⲕⲣⲓⲃⲱⲥ,ακριβως
ⲁⲕⲣⲓⲥ,ακρις
ⲁⲕⲣⲟⲁⲧⲏⲥ,ακροατης
ⲁⲕⲣⲟⲃⲩⲥⲧⲓⲁ,ακροβυστια
ⲁⲕⲧⲓⲛ,ακτιν
ⲁⲕⲩⲣⲟⲩ,ακυροω
ⲁⲕⲱⲗⲩⲧⲱⲥ,ακωλυτως
ⲁⲕⲱⲛⲉ,ακονη
ⲁⲗⲁⲃⲁⲥⲧⲣⲟⲛ,αλαβαστρον
ⲁⲗⲉⲕⲧⲟⲥ,αλεκτος
ⲁⲗⲉⲕⲧⲱⲣ,αλεκτωρ
ⲁⲗⲏⲑⲉⲓⲁ,αληθεια
ⲁⲗⲏⲑⲓⲛⲏ,αληθινος
ⲁⲗⲏⲑⲓⲛⲟⲛ,αληθινος
ⲁⲗⲏⲑⲓⲛⲟⲥ,αληθινος
ⲁⲗⲏⲑⲱⲥ,αληθες
ⲁⲗⲗⲁ,αλλα
ⲁⲗⲗⲁ,αλλος
ⲁⲗⲗⲁⲅⲏ,αλλαγη
ⲁⲗⲗⲁⲥⲥⲉ,αλλασσω
ⲁⲗⲗⲟ,αλλος
ⲁⲗⲗⲟⲅⲉⲛⲏⲥ,αλλογενης
ⲁⲗⲗⲟⲅⲉⲛⲓⲟⲥ,αλλογενιος
ⲁⲗⲗⲟⲥ,αλλος
ⲁⲗⲗⲟⲧⲣⲓⲟⲛ,αλλοτριος
ⲁⲗⲗⲟⲧⲣⲓⲟⲥ,αλλοτριος
ⲁⲗⲗⲟⲫⲩⲗⲟⲥ,αλλοφυλος
ⲁⲗⲗⲱⲏ,αλοη
ⲁⲗⲟⲅⲟⲛ,αλογος
ⲁⲗⲟⲅⲟⲥ,αλογος
ⲁⲗⲟⲥ,αλς
ⲁⲗⲥⲟⲥ,αλσος
ⲁⲗⲫⲁ,αλφα
ⲁⲗⲫⲁⲃⲁⲧⲱⲛ,αλφαβητον
ⲁⲗⲱⲏⲥ,αλοη
ⲁⲙⲁⲗⲉ,αμυλον
ⲁⲙⲁⲣⲁⲛⲧⲟⲥ,αμαραντος
ⲁⲙⲉⲗⲉⲓ,αμελεω
ⲁⲙⲉⲗⲉⲓⲁ,αμελεια
ⲁⲙⲉⲗⲏⲥ,αμελης
ⲁⲙⲉⲣⲓ,ομηριται
ⲁⲙⲉⲣⲓⲙⲛⲉⲓⲁ,αμεριμνια
ⲁⲙⲉⲣⲓⲙⲛⲟⲥ,αμεριμνος
ⲁⲙⲉⲧⲣⲏⲧⲟⲛ,αμετρητος
ⲁⲙⲏⲗⲗⲟⲛ,αμυλον
ⲁⲙⲏⲗⲟⲩ,αμυλον
ⲁⲙⲏⲣⲁⲥ,αμυλον
ⲁⲙⲏⲧⲣⲓⲧⲟⲥ,αμετρητος
ⲁⲙⲓⲁⲛⲧⲟⲥ,αμιαντος
ⲁⲙⲓⲛⲉⲟⲛ,αμιναιος
ⲁⲙⲓⲣⲁ,αμιρας
ⲁⲙⲙⲟⲣⲁⲓⲟⲥ,αμορραιος
ⲁⲙⲙⲱⲛⲓⲧⲏⲥ,αμμωνιτης
ⲁⲙⲟⲣⲫⲟⲥ,αμορφος
ⲁⲙⲡⲟⲩⲗⲉ,αμπυλλη
ⲁⲙⲩⲅⲇⲁⲗⲟⲛ,αμυγδαλον
ⲁⲙⲫⲓⲃⲁⲗⲉ,αμφιβαλλω
ⲁⲙⲫⲓⲃⲟⲗⲓⲁ,αμφιβολια
ⲁⲙⲫⲓⲃⲟⲗⲟⲛ,αμφιβολον
ⲁⲙⲫⲓⲧⲁⲡⲟⲥ,αμφιταπος
ⲁⲙⲱⲙⲟⲙ,αμωμον
ⲁⲙⲱⲙⲟⲛ,αμωμος
ⲁⲙⲱⲛⲓⲁⲕⲟⲩ,αμμωνιακος
ⲁⲛⲁ,ανα
