coptic,greek
ⲁⲣⲭⲏⲟⲗⲟⲅⲓⲁ,αρχαιολογια
ⲁⲣⲭⲏⲡⲗⲁⲥⲙⲁ,αρχιπλασμα
ⲁⲣⲭⲏⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ,αρχιπρεσβυτερος
ⲁⲣⲭⲏⲡⲣⲟⲫⲏⲧⲏⲥ,αρχιπροφητης
ⲁⲣⲭⲏⲥⲧⲣⲁⲧⲩⲗⲁⲧⲏⲥ,αρχιστρατηλατης
ⲁⲣⲭⲓⲅⲉⲛⲉⲧⲱⲣ,αρχιγεννητωρ
ⲁⲣⲭⲓⲅⲉⲛⲛⲏⲧⲱⲣ,αρχιγεννητωρ
ⲁⲣⲭⲓⲉⲣⲉⲩⲥ,αρχιερευς
ⲁⲣⲭⲓⲙⲁⲅⲉⲣⲟⲥ,αρχιμαγειρος
ⲁⲣⲭⲓⲙⲁⲛⲇⲣⲓⲧⲏⲥ,αρχιμανδριτης
ⲁⲣⲭⲓⲛ,αρχω
ⲁⲣⲭⲓⲥⲧⲣⲁⲧⲉⲩⲙⲁ,αρχιστρατευμα
ⲁⲣⲭⲓⲥⲧⲣⲁⲧⲏⲅⲟⲥ,αρχιστρατηγος
ⲁⲣⲭⲓⲥⲩⲛⲁⲅⲱⲅⲟⲥ,αρχισυναγωγος
ⲁⲣⲭⲟⲛⲧⲓⲕⲏ,αρχοντικος
ⲁⲣⲭⲟⲛⲧⲓⲕⲟⲛ,αρχοντικος
ⲁⲣⲭⲱⲛ,αρχων
ⲁⲣⲱⲙⲁⲧⲁ,αρωμα
ⲁⲥⲁⲗⲉⲩⲧⲟⲥ,ασαλευτος
ⲁⲥⲉⲃⲏⲥ,ασεβης
ⲁⲥⲉⲗⲉⲩⲧⲱⲛ,ασαλευτος
ⲁⲥⲏⲙⲁⲛⲧⲟⲥ,ασημαντος
ⲁⲥⲏⲙⲓⲟⲥ,ασημιον
ⲁⲥⲑⲉⲛⲉⲓⲁ,ασθενεια
ⲁⲥⲑⲉⲛⲏⲥ,ασθενης
ⲁⲥⲕⲉⲓ,ασκεω
ⲁⲥⲕⲏⲥⲓⲥ,ασκησις
ⲁⲥⲕⲏⲧⲏⲥ,ασκητης
ⲁⲥⲕⲟⲡⲟⲥ,ασκοπος
ⲁⲥⲕⲟⲡⲱⲥ,ασκοπως
ⲁⲥⲕⲟⲥ,ασκος
ⲁⲥⲟⲫⲟⲛ,ασοφος
ⲁⲥⲡⲁⲍⲉ,ασπαζομαι
ⲁⲥⲡⲁⲍⲉⲥⲑⲉ,ασπαζομαι
ⲁⲥⲡⲁⲗⲁⲑⲟⲥ,ασπαλαθος
ⲁⲥⲡⲁⲥⲙⲟⲥ,ασπασμος
ⲁⲥⲥⲁⲣⲓⲟⲛ,ασσαριον
ⲁⲥⲥⲩⲣⲓⲟⲥ,ασσυριος
ⲁⲥⲧⲏⲣ,αστηρ
ⲁⲥⲧⲓⲟⲥ,αστειος
ⲁⲥⲧⲣⲟⲛⲟⲙⲓⲁ,αστρονομια
ⲁⲥⲩⲛⲑⲉⲧⲟⲛ,ασυνθετος
ⲁⲥⲩⲥⲧⲁⲧⲟⲥ,ασυστατος
ⲁⲥⲫⲁⲗⲁⲕⲟⲛ,ασφαραγος
ⲁⲥⲫⲁⲗⲉⲥⲧⲏⲣⲟⲛ,ασφαλεστερον
ⲁⲥⲫⲁⲗⲏⲥ,ασφαλης
ⲁⲥⲫⲁⲗⲓⲁ,ασφαλεια
ⲁⲥⲫⲁⲗⲓⲍⲉ,ασφαλιζω
ⲁⲥⲫⲁⲗⲧⲟⲛ,ασφαλτος
ⲁⲥⲫⲁⲗⲧⲟⲥ,ασφαλτος
ⲁⲥⲫⲁⲗⲱⲥ,ασφαλως
ⲁⲥⲭⲁⲣⲁ,εσχαρα
ⲁⲥⲭⲏⲙⲟⲛⲉⲓ,ασχημονεω
ⲁⲥⲭⲏⲙⲟⲥⲩⲛⲏ,ασχημοσυνη
ⲁⲥⲱⲙⲁⲧⲟⲛ,ασωματος
ⲁⲥⲱⲙⲁⲧⲟⲥ,ασωματος
ⲁⲧⲁⲕⲧⲟⲥ,ατακτος
ⲁⲧⲁⲕⲧⲱⲥ,ατακτως
ⲁⲧⲁⲙⲁⲛⲇⲓⲛⲟⲛ,αδαμαντινος
ⲁⲧⲁⲝⲓⲁ,αταξια
ⲁⲧⲉⲗⲏⲥ,ατελης
ⲁⲧⲓⲙⲓⲁ,ατιμια
ⲁⲧⲣⲉⲡⲧⲟⲥ,ατρεπτος
ⲁⲩⲑⲁⲇⲏⲥ,αυθαδης
ⲁⲩⲑⲉⲛⲧⲉⲓⲁ,αυθεντια
ⲁⲩⲑⲉⲛⲧⲏⲥ,αυθεντης
ⲁⲩⲑⲉⲛⲧⲓⲕⲏ,αυθεντικος
ⲁⲩⲗⲏ,αυλη
ⲁⲩⲝⲁⲛⲉ,αυξανω
ⲁⲩⲝⲓⲥⲓⲥ,αυξησις
ⲁⲩⲧⲟⲅⲉⲛⲉⲧⲱⲣ,αυτογενετωρm
ⲁⲩⲧⲟⲅⲉⲛⲏⲥ,αυτογενης
ⲁⲩⲧⲟⲅⲉⲛⲏⲧⲟⲥ,αυτογεννητος
ⲁⲩⲧⲟⲅⲉⲛⲓⲟⲛ,αυτογενιος
ⲁⲩⲧⲟⲅⲉⲛⲓⲟⲥ,αυτογενιος
ⲁⲩⲧⲟⲅⲉⲛⲛⲓⲟⲥ,αυτογενιος
ⲁⲩⲧⲟⲇⲟⲝⲁⲥⲧⲟⲥ,αυτοδοξαστος
ⲁⲩⲧⲟⲉⲝⲟⲩⲥⲓⲟⲛ,αυτεξουσιος
ⲁⲩⲧⲟⲑⲉⲗⲏⲧⲟⲥ,αυτοθελητος
ⲁⲩⲧⲟⲕⲣⲁⲧⲱⲣ,αυτοκρατωρ
ⲁⲩⲧⲟⲕⲧⲓⲥⲧⲟⲥ,αυτοκτιστος
ⲁⲩⲧⲟⲡⲁⲧⲱⲣ,αυτοπατωρ
ⲁⲩⲧⲟⲧⲉⲗⲏⲥ,αυτοτελης
ⲁⲩⲧⲟⲫⲩⲏⲥ,αυτοφυης
ⲁⲫⲉⲇⲣⲱⲛ,αφεδρων
ⲁⲫⲉⲗⲡⲓⲍⲉ,απελπιζω
ⲁⲫⲑⲁⲣⲥⲓⲁ,αφθαρσια
ⲁⲫⲑⲁⲣⲧⲟⲛ,αφθαρτος
ⲁⲫⲑⲁⲣⲧⲟⲥ,αφθαρτος
ⲁⲫⲑⲟⲣⲟⲥ,αφθορος
ⲁⲫⲟⲣⲓⲥⲙⲟⲥ,αφορισμος
ⲁⲫⲟⲣⲙⲏ,αφορμη
ⲁⲫⲣⲏⲇⲱⲛⲓⲁ,αφρηδωνια
ⲁⲫⲣⲟⲛⲓⲧⲣⲟⲛ,αφρονιτρον
ⲁⲫⲩⲏⲥ,αφυης
ⲁⲫⲱⲣⲓⲥⲉ,αφοριζω
ⲁⲭⲁⲣⲓⲥⲧⲓⲁ,αχαριστια
ⲁⲭⲁⲧⲏⲥ,αχατης
ⲁⲭⲓⲗⲗⲓⲟⲛ,αχιλ(λ)ηον
ⲁⲭⲣⲓⲥⲧⲟⲛ,αχρηστος
ⲁⲭⲱⲣⲏⲧⲟⲥ,αχωρητος
ⲁⲯⲓⲙⲁⲭⲓⲁ,αψιμαχια
ⲁⲯⲩⲭⲟⲛ,αψυχος
ⲁⲹⲟⲣⲁⲧⲟⲛ,αορατος
ⲁⲹⲟⲣⲁⲧⲟⲥ,αορατος
ⲃⲁⲑⲙⲟⲥ,βαθμος
ⲃⲁⲑⲟⲛ,βαθον
ⲃⲁⲑⲟⲥ,βαθος
ⲃⲁⲕⲧⲏⲣⲓⲁ,βακτηρια
ⲃⲁⲗⲁⲛⲟⲥ,βαλανος
ⲃⲁⲗⲁⲧ,μηλωτη
ⲃⲁⲡⲧⲓⲍⲉ,βαπτιζω
ⲃⲁⲡⲧⲓⲥⲙⲁ,βαπτισμα
ⲃⲁⲡⲧⲓⲥⲙⲟⲥ,βαπτισμος
ⲃⲁⲡⲧⲓⲥⲧⲏⲥ,βαπτιστης
ⲃⲁⲣⲃⲁⲣⲟⲥ,βαρβαρος
ⲃⲁⲣⲉⲓ,βαρεω
ⲃⲁⲣⲉⲓⲥⲑⲁⲓ,βαρεω
ⲃⲁⲣⲟⲥ,βαρος
ⲃⲁⲥⲁⲛⲓⲍⲉ,βασανιζω
ⲃⲁⲥⲁⲛⲓⲍⲓⲛ,βασανιζω
ⲃⲁⲥⲁⲛⲓⲥⲧⲏⲣⲓⲟⲛ,βασανιστηριον
ⲃⲁⲥⲁⲛⲓⲥⲧⲏⲥ,βασανιστης
ⲃⲁⲥⲁⲛⲟⲥ,βασανος
ⲃⲁⲥⲓⲗⲓⲁ,βασιλεια
ⲃⲁⲥⲓⲗⲓⲕⲟⲛ,βασιλικος
ⲃⲁⲥⲓⲗⲓⲕⲟⲥ,βασιλικος
ⲃⲁⲥⲓⲥ,βασις
ⲃⲁⲥⲕⲁⲛⲉ,βασκαινω
ⲃⲁⲥⲕⲁⲛⲟⲥ,βασκανος
ⲃⲁⲥⲧⲉⲣⲛⲁ,βαστερνα
ⲃⲁⲧⲁⲛⲉ,βατανη
ⲃⲁⲧⲟⲥ,βατος
ⲃⲁⲧⲧⲁⲗⲟⲅⲓ,βατταλογεω
ⲃⲁⲧⲧⲟⲗⲟⲅⲓⲁ,βαττολογια
ⲃⲇⲉⲗⲗⲏ,βδελλα
ⲃⲉⲃⲁⲓⲟⲩ,βεβαιοω
ⲃⲉⲣⲉⲧⲁⲣⲓⲟⲥ,βερεδαριος
ⲃⲏⲙⲁ,βημα
ⲃⲓⲁ,βια
ⲃⲓⲁⲍⲉ,βιαζω
ⲃⲓⲃⲗⲓⲟⲑⲩⲕⲏ,βιβλιοθηκη
ⲃⲓⲃⲗⲟⲥ,βιβλος
ⲃⲓⲕⲁⲣⲓⲟⲥ,βικαριος
ⲃⲓⲟⲥ,βιος
ⲃⲓⲱⲧⲓⲕⲟⲛ,βιωτικος
ⲃⲓⲱⲧⲓⲕⲟⲥ,βιωτικος
ⲃⲗⲁⲃⲏ,βλαβη
ⲃⲗⲁⲡⲧⲉⲓ,βλαπτω
ⲃⲗⲁⲡⲧⲉⲥⲑⲁⲓ,βλαπτω
ⲃⲗⲁⲡⲧⲓⲛ,βλαπτω
ⲃⲗⲁⲥⲫⲏⲙⲓ,βλασφημεω
ⲃⲗⲁⲥⲫⲏⲙⲓⲁ,βλασφημια
ⲃⲗⲃⲁⲧⲥ,βολβιτον
ⲃⲗⲏⲥⲓⲥ,βλησις
ⲃⲟⲏⲑⲉⲓ,βοηθεω
ⲃⲟⲏⲑⲉⲓⲁ,βοηθεια
ⲃⲟⲏⲑⲓⲛ,βοηθεω
ⲃⲟⲏⲑⲟⲥ,βοηθος
ⲃⲟⲣⲃⲟⲣⲟⲛ,βορβορος
ⲃⲟⲣⲃⲟⲣⲟⲥ,βορβορος
ⲃⲟⲧⲁⲛⲏ,βοτανη
ⲃⲟⲩⲗⲉⲩⲧⲏⲣⲓⲟⲛ,βουλευτηριον
ⲃⲟⲩⲗⲏⲙⲁ,βουλημα
ⲃⲟⲩⲗⲏⲥⲓⲥ,βουλησις
ⲃⲟⲩⲗⲩⲉⲧⲏⲥ,βουλευτης
ⲃⲟⲩⲛⲉⲩⲣⲟⲛ,βουνευρον
ⲃⲟⲩⲛⲟⲥ,βουνος
ⲃⲣⲁⲃⲓⲟⲛ,βραβειον
ⲃⲣⲁⲭⲙⲁⲛⲏⲥ,βραχμανες
ⲃⲣⲁⲭⲩ,βραχυς
ⲃⲣⲓⲟⲛ,βρυον
ⲃⲣⲟⲛⲧⲏ,βροντη
ⲃⲣⲟⲩⲭⲟⲥ,βρουχος
ⲃⲩⲃⲓⲟⲛ,βεβαιος
ⲃⲩⲣⲣⲩⲗⲗⲟⲥ,βηρυλλος
ⲃⲱⲗⲟⲥ,βωλος
ⲃⲱⲙⲟⲥ,βωμος
ⲅⲁⲍⲁ,γαζα
ⲅⲁⲍⲟⲫⲩⲗⲁⲕⲓⲟⲛ,γαζοφυλακιον
ⲅⲁⲗⲁⲕⲧⲓⲧⲏⲥ,γαλακτιτης
ⲅⲁⲗⲓⲗⲁⲓⲟⲥ,γαλιλαιος
ⲅⲁⲗⲗⲓⲕⲟⲥ,γαλλικος
ⲅⲁⲙⲟⲥ,γαμος
ⲅⲁⲡⲁⲣⲓ,καππαρις
ⲅⲁⲣ,γαρ
ⲅⲉⲑⲑⲁⲓⲟⲥ,γεθθαιος
ⲅⲉⲛⲉⲁ,γενεα
ⲅⲉⲛⲉⲁⲗⲟⲅⲓⲁ,γενεαλογια
ⲅⲉⲛⲉⲥⲓⲥ,γενεσις
ⲅⲉⲛⲉⲧⲉⲓⲣⲁ,γενετειρα
ⲅⲉⲛⲉⲧⲱⲣ,γενετωρ
ⲅⲉⲛⲏⲙⲁ,γενημα
ⲅⲉⲛⲏⲧⲟⲛ,γεννητος
ⲅⲉⲛⲏⲧⲟⲥ,γεννητος
ⲅⲉⲛⲛⲉⲁ,γενναιος
ⲅⲉⲛⲛⲉⲟⲥ,γενναιος
ⲅⲉⲛⲟⲓⲧⲟ,γιγνομαι
ⲅⲉⲛⲟⲥ,γενος
ⲅⲉⲣⲁⲍⲏⲛⲟⲥ,γερασηνος
ⲅⲉⲣⲅⲉⲥⲁⲓⲟⲥ,γεργεσαιος
ⲅⲉⲣⲧⲱⲛ,κερδαινω
ⲅⲉⲱⲙⲓⲧⲣⲏⲥ,γεωμετρης
ⲅⲉⲱⲣⲅⲟⲥ,γεωργος
ⲅⲉⲹⲉⲛⲛⲁ,γεεννα
ⲅⲓⲅⲁⲥ,γιγας
ⲅⲓⲙⲉⲛ,κυμαινω
ⲅⲗⲩⲡⲧⲟⲛ,γλυπτος
ⲅⲗⲱⲥⲥⲟⲕⲟⲙⲟⲛ,γλωσσοκομον
ⲅⲛⲏⲥⲓⲟⲥ,γνησιος
ⲅⲛⲟⲫⲟⲥ,γνοφος
ⲅⲛⲱⲙⲏ,γνωμη
ⲅⲛⲱⲥⲓⲥ,γνωσις
ⲅⲣⲁⲙⲙⲁ,γραμμα
ⲅⲣⲁⲙⲙⲁⲧⲉⲩⲥ,γραμματευς
ⲅⲣⲁⲙⲙⲁⲧⲏⲫⲟⲣⲟⲥ,γραμματηφορος
ⲅⲣⲁⲙⲙⲁⲧⲓⲕⲟⲥ,γραμματικος
ⲅⲣⲁⲙⲙⲁⲧⲓⲟⲛ,γραμματειον
ⲅⲣⲁⲙⲡⲉ,κραμβη
ⲅⲣⲁⲫⲉⲓ,γραφω
ⲅⲣⲁⲫⲉⲩⲥ,γραφευς
ⲅⲣⲁⲫⲏ,γραφη
ⲅⲣⲁⲫⲟⲟⲩⲉ,γραφη
ⲅⲣⲩⲡⲁⲍⲉ,καρπιζω
ⲅⲩⲙⲛⲁⲍⲉ,γυμναζω
ⲅⲩⲙⲛⲁⲥⲓⲁ,γυμνασια
ⲇⲁⲓⲙⲟⲛⲓⲍⲉ,δαιμονιζομαι
ⲇⲁⲓⲙⲟⲛⲓⲟⲛ,δαιμονιον
ⲇⲁⲓⲙⲱⲛ,δαιμων
ⲇⲁⲙⲁⲍⲉ,δαμαζω
ⲇⲁⲛⲁⲓⲥ,δαναοι
ⲇⲁⲛⲓⲥⲧⲏⲥ,δανειστης
ⲇⲁⲡⲁⲛⲏ,δαπανη
ⲇⲁⲥⲩ,δασυς
ⲇⲁⲵⲛⲏⲥ,δαφνη
ⲇⲉ,δε
ⲇⲉⲓⲛⲁ,δεινα
ⲇⲉⲓⲝⲟⲛ,δεικνευω
ⲇⲉⲓⲡⲛⲟⲛ,δειπνον
ⲇⲉⲕⲁⲛⲟⲥ,δεκανος
ⲇⲉⲕⲁⲥ,δεκας
ⲇⲉⲙⲓⲟⲩⲣⲅⲓⲕⲏ,δημιουργικος
ⲇⲉⲥⲡⲟⲧⲉⲓⲁ,δεσποτεια
ⲇⲉⲥⲡⲟⲧⲏⲥ,δεσποτης
ⲇⲉⲥⲡⲟⳇ,δεσποτης
ⲇⲉⲥⲡⲱⲧⲁ,δεσποτα
ⲇⲉⲩⲧⲉⲣⲁ,δευτερος
ⲇⲉⲩⲧⲉⲣⲟⲛ,δευτερον
ⲇⲏⲗⲟⲩ,δηλοω
ⲇⲏⲙⲉⲩⲉ,δημευω
ⲇⲏⲙⲓⲟⲥ,δημιος
ⲇⲏⲙⲓⲟⲩⲣⲅⲓ,δημιουργεω
ⲇⲏⲙⲓⲟⲩⲣⲅⲟⲥ,δημιουργος
ⲇⲏⲙⲟⲥⲓⲁ,δημοσιος
ⲇⲏⲙⲟⲥⲓⲟⲛ,δημοσιος
ⲇⲏⲛⲁⲣⲓⲟⲛ,δηναριον
ⲇⲏⲫⲉⲛⲧⲉⲩⲉ,δηφεντευω
ⲇⲓⲁⲃⲁⲗⲗⲉ,διαβαλλω
ⲇⲓⲁⲃⲟⲗⲏ,διαβολη
ⲇⲓⲁⲃⲟⲗⲓⲕⲟⲛ,διαβολικος
ⲇⲓⲁⲃⲟⲗⲟⲥ,διαβολος
ⲇⲓⲁⲅⲣⲁⲫⲟⲛ,διαγραφον
ⲇⲓⲁⲅⲱⲅⲏ,διαγωγη
ⲇⲓⲁⲇⲟⲭⲏ,διαδοχη
ⲇⲓⲁⲑⲉⲥⲓⲥ,διαθεσις
ⲇⲓⲁⲑⲏⲕⲏ,διαθηκη
ⲇⲓⲁⲓⲣⲉⲥⲓⲥ,διαιρεσις
ⲇⲓⲁⲕⲟⲛⲉⲓ,διακονεω
ⲇⲓⲁⲕⲟⲛⲓⲁ,διακονια
ⲇⲓⲁⲕⲟⲛⲓⲛ,διακονεω
ⲇⲓⲁⲕⲟⲛⲟⲥ,διακονος
ⲇⲓⲁⲕⲣⲓⲛⲉ,διακρινω
ⲇⲓⲁⲕⲣⲓⲥⲓⲥ,διακρισις
ⲇⲓⲁⲕⲱⲛ,διακων
ⲇⲓⲁⲕⳇ,διακονος
ⲇⲓⲁⲗⲉⲅⲓⲥⲑⲉ,διαλεγω
ⲇⲓⲁⲗⲩⲉ,διαλυω
ⲇⲓⲁⲗⲩⲥⲓⲥ,διαλυσις
ⲇⲓⲁⲙⲟⲛⲏ,διαμονη
ⲇⲓⲁⲛⲟⲓⲁ,διανοια
ⲇⲓⲁⲛⲟⲓⲥⲓⲥ,διανοησις
ⲇⲓⲁⲛⲟⲙⲏ,διανομη
ⲇⲓⲁⲡⲉⲣⲁ,διαπεραω
ⲇⲓⲁⲥⲡⲟⲣⲁ,διασπορα
ⲇⲓⲁⲥⲧⲁⲗⲉ,διαστελλω
ⲇⲓⲁⲥⲧⲁⲗⲙⲟⲥ,διασταλμος
ⲇⲓⲁⲥⲧⲏⲙⲁ,διαστημα
ⲇⲓⲁⲥⲧⲣⲟⲫⲏ,διαστροφη
ⲇⲓⲁⲥⲱⲥⲟⲩ,διασωζω
ⲇⲓⲁⲧⲁⲅⲏ,διαταγη
ⲇⲓⲁⲧⲁⲅⲙⲁ,διαταγμα
ⲇⲓⲁⲧⲁⲝⲓⲥ,διαταξις
ⲇⲓⲁⲧⲁⲥⲥⲉ,διατασσω
ⲇⲓⲁⲧⲓⲑⲉⲥⲑⲁⲓ,διατιθεμαι
ⲇⲓⲁⲧⲟⲭⲟⲥ,διαδοχος
ⲇⲓⲁⲧⲣⲓⲃⲉ,διατριβω
ⲇⲓⲁⲫⲉⲣⲓⲥⲑⲁⲓ,διαφερομαι
ⲇⲓⲁⲫⲟⲣⲁ,διαφορα
ⲇⲓⲁⲯⲁⲗⲙⲁ,διαψαλμα
ⲇⲓⲁⲹⲣⲟⲿⲟⲛ,διαρροδος
ⲇⲓⲇⲁⲥⲕⲁⲗⲓⲁ,διδασκαλια
ⲇⲓⲇⲓⲡⲗⲁ,διπλη
ⲇⲓⲇⲣⲁⲭⲙⲟⲛ,διδραχμον
ⲇⲓⲏⲅⲏⲙⲁ,διηγημα
ⲇⲓⲏⲕⲩⲥⲓⲥ,διηγησις
ⲇⲓⲕⲁⲍⲉ,δικαζω
ⲇⲓⲕⲁⲓⲟⲅⲣⲁⲙⲙⲁ,δικαιογραμμα
ⲇⲓⲕⲁⲓⲟⲗⲟⲅⲉⲓ,δικαιολογεομαι
ⲇⲓⲕⲁⲓⲟⲗⲟⲅⲓⲁ,δικαιολογια
ⲇⲓⲕⲁⲓⲟⲛ,δικαιον
ⲇⲓⲕⲁⲓⲟⲥ,δικαιος
ⲇⲓⲕⲁⲓⲟⲥⲩⲛⲏ,δικαιοσυνη
ⲇⲓⲕⲁⲓⲱⲙⲁ,δικαιωμα
ⲇⲓⲕⲁⲓⲱⲥ,δικαιως
ⲇⲓⲕⲁⲥⲧⲏⲣⲓⲟⲛ,δικαστηριον
ⲇⲓⲕⲁⲥⲧⲏⲥ,δικαστης
ⲇⲓⲕⲏ,δικη
ⲇⲓⲕⲛⲉⲩⲉ,δεικνευω
ⲇⲓⲙⲓⲟⲥ,τιμιος
ⲇⲓⲙⲓⲟⲩⲣⲅⲓⲁ,δημιουργια
ⲇⲓⲙⲟⲓⲣⲓⲁ,διμοιρια
ⲇⲓⲙⲟⲓⲣⲟⲛ,διμοιρος
ⲇⲓⲙⲱⲣⲓⲧⲏⲥ,τιμωρητης
ⲇⲓⲟⲓⲕⲉⲓ,διοικεω
ⲇⲓⲟⲓⲕⲏ,διοικεω
ⲇⲓⲟⲓⲕⲏⲥⲓⲥ,διοικησις
ⲇⲓⲟⲓⲕⲏⲧⲏⲥ,διοικητης
ⲇⲓⲟⲥⲙⲏ,διοςμη
ⲇⲓⲡⲗⲁ,διπλη
ⲇⲓⲡⲗⲟⲩⲛ,διπλους
ⲇⲓⲡⲛⲉⲓ,δειπνευω
ⲇⲓⲣⲕⲏ,διρκη
ⲇⲓⲥⲙⲟⲥ,δεσμος
ⲇⲓⲥⲧⲁⲍⲉ,δισταζω
ⲇⲓⲥⲧⲓⲭⲟⲛ,διστιχον
ⲇⲓⲧⲁⲥⲅⲁⲗⲟⲥ,διδασκαλος
ⲇⲓⲫⲣⲩⲅⲟⲥ,διφρυγης
ⲇⲓⲱⲅⲙⲟⲥ,διωγμος
ⲇⲓⲱⲕⲉ,διωκω
ⲇⲓⲱⲕⲧⲏⲥ,διωκτης
ⲇⲟⲅⲙⲁ,δογμα
ⲇⲟⲅⲙⲁⲧⲓⲍⲉ,δογματιζω
ⲇⲟⲕⲉⲓ,δοκεω
ⲇⲟⲕⲓⲙⲁⲍⲉ,δοκιμαζω
ⲇⲟⲕⲓⲙⲏ,δοκιμη
ⲇⲟⲕⲓⲙⲟⲛ,δοκιμος
ⲇⲟⲕⲓⲙⲟⲥ,δοκιμος
ⲇⲟⲗⲟⲥ,δολος
ⲇⲟⲝⲟⲅⲉⲛⲏⲥ,δοξογενης
ⲇⲟⲝⲟⲅⲉⲛⲓⲁ,δοξογενια
ⲇⲟⲝⲟⲕⲣⲁⲧⲓⲁ,δοξοκρατια
ⲇⲟⲝⲟⲕⲣⲁⲧⲱⲣ,δοξοκρατωρ
ⲇⲟⲝⲟⲗⲟⲅⲓⲁ,δοξολογια
ⲇⲟⲝⲟⲛ,δοξον
ⲇⲟⲝⲟⲫⲁⲛⲏⲥ,δοξοφανης
ⲇⲟⲝⲟⲫⲁⲛⲓⲁ,δοξοφανια
ⲇⲟⲣⲕⲁⲥ,δορκας
ⲇⲟⲩⲝ,δουξ
ⲇⲟⲽⲓ,δοκεω
ⲇⲟⲽⲓⲙⲁⲥⲧⲏⲥ,δοκιμαστης
ⲇⲣⲁⲕⲱⲛ,δρακων
ⲇⲣⲓⲙⲙⲁ,τριμμα
ⲇⲣⲟⲙⲉⲩⲥ,δρομευς
ⲇⲣⲟⲙⲟⲥ,δρομος
ⲇⲣⲩⲙⲟⲥ,δρυμος
ⲇⲩⲁⲥ,δυας
ⲇⲩⲕⲁⲛⲟⲥ,δεκανος
ⲇⲩⲙⲟⲥⲓⲟⲩ,δημοσιοω
ⲇⲩⲙⲟⲧⲏⲥ,δημοτης
ⲇⲩⲛⲁⲙⲓⲥ,δυναμις
ⲇⲩⲛⲁⲥⲧⲏⲥ,δυναστης
ⲇⲩⲛⲁⲧⲟⲛ,δυνατος
ⲇⲩⲛⲁⲧⲟⲥ,δυνατος
ⲇⲩⲣⲁⲛⲛⲉⲩⲉ,τυραννευω
ⲇⲩⲥⲕⲟⲗⲟⲛ,δυσκολος
ⲇⲱⲇⲉⲕⲁⲥ,δωδεκας
ⲇⲱⲣⲉⲁ,δωρεα
ⲇⲱⲣⲉⲁⲥⲧⲓⲕⲏ,δωρεαστικος
ⲇⲱⲣⲉⲁⲥⲧⲓⲕⲟⲛ,δωρεαστικος
ⲇⲱⲣⲓⲍⲉ,δωριζω
ⲇⲱⲣⲟⲛ,δωρον
ⲉⲁⲣ,εαρ
ⲉⲃⲇⲟⲙⲏⲥ,εβδομος
ⲉⲅⲅⲕⲗⲩⲙⲁⲥ,εγκλημα
ⲉⲅⲅⲣⲁⲫⲟⲛ,εγγραφον
ⲉⲅⲅⲣⲁⲫⲱⲥ,εγγραφος
ⲉⲅⲅⲩⲁ,εγγυη
ⲉⲅⲉⲧⲉ,αγω
ⲉⲅⲕⲁⲕⲉⲓ,εγκακεω
ⲉⲅⲕⲁⲗⲉⲓ,εγκαλεω
ⲉⲅⲕⲉⲫⲁⲗⲟⲥ,εγκεφαλος
ⲉⲅⲕⲗⲏⲙⲁ,εγκλημα
ⲉⲅⲕⲗⲏⲥⲧⲱⲥ,εγκλειστος
ⲉⲅⲕⲣⲁⲧⲉⲓⲁ,εγκρατεια
ⲉⲅⲕⲣⲁⲧⲉⲩⲉ,εγκρατευομαι
ⲉⲅⲕⲣⲁⲧⲏⲥ,εγκρατης
ⲉⲅⲕⲣⲩⲫⲓⲟⲛ,εγκρυφιον
ⲉⲅⲕⲱⲙⲓⲁⲍⲉ,εγκωμιαζω
ⲉⲅⲕⲱⲙⲓⲟⲛ,εγκωμιον
ⲉⲅⲗⲁⲃⲉ,εκλαμβανω
ⲉⲑⲁⲛⲓⲟⲛ,αθηναιος
ⲉⲑⲏⲣ,αιθηρ
ⲉⲑⲟⲥ,εθος
ⲉⲓ,ει
ⲉⲓⲇⲉⲁ,ιδεα
ⲉⲓⲇⲟⲥ,ειδος
ⲉⲓⲇⲱⲗⲟⲛ,ειδωλον
ⲉⲓⲕⲏ,εικη
ⲉⲓⲙⲏ,ει μη
ⲉⲓⲙⲏⲧⲓ,ει μη τι
ⲉⲓⲛⲁⲓ,ειμι
ⲉⲓⲣⲉⲱⲥ,ιρις
ⲉⲓⲣⲏⲛⲏ,ειρηνη
ⲉⲓⲣⲏⲛⲓⲕⲏ,ειρηνικος
ⲉⲓⲣⲏⲛⲓⲕⲟⲛ,ειρηνικος
ⲉⲓⲣⲏⲛⲓⲕⲟⲥ,ειρηνικος
ⲉⲓⲥⲿⲕⲟⲥ,οιστικος
ⲉⲓⲧⲁ,ειτα
ⲉⲓⲧⲉ,ειτε
ⲉⲕⲇⲓⲕⲟⲥ,εκδικος
ⲉⲕⲕⲗⲏⲥⲓⲁ,εκκλησια
ⲉⲕⲕⲗⲏⲥⲓⲁⲥⲧⲏⲥ,εκκλησιαστης
ⲉⲕⲕⲗⲏⲥⲓⲁⲥⲧⲓⲕⲟⲛ,εκκλησιαστικος
ⲉⲕⲗⲉⲕⲧⲏ,εκλεκτος
ⲉⲕⲗⲉⲕⲧⲟⲥ,εκλεκτος
ⲉⲕⲗⲟⲅⲏ,εκλογη
ⲉⲕⲟⲇⲟⲙⲏ,οικοδομη
