coptic_lemma,greek_form,count
ⲡⲁⲗⲗⲁⲿⲟⲛ,παλλαⲿον,26
ⲁⲛⲁⲭⲱⲣⲏⲧⲏⲥ,αναχωρητησ,26
ⲁⲅⲣⲓⲟⲛ,αγριον,26
ⲙⲛⲧⲙⲟⲛⲁⲭⲟⲥ,μντμοναχοσ,26
ⲗⲏⲥⲧⲏⲥ,ληστησ,26
ⲉⲡⲓⲥⲕⲟⲡⲏ,επισκοπη,26
ⲥⲩⲅⲅⲉⲛⲓⲁ,συγγενια,26
ⲹⲩⲗⲓⲕⲟⲛ,ⲹυλικον,26
ⲅⲛⲟⲫⲟⲥ,γνοφοσ,26
ⲥⲧⲩⲗⲏ,στυλη,26
ⲉⲛⲉⲣⲅⲉⲓ,ενεργει,25
ⲙⲉⲣⲓⲥ,μερισ,25
ⲟⲩⲥⲓⲁ,ουσια,25
ⲕⲟⲥⲙⲉⲓ,κοσμει,25
ⲡⲁⲣⲟⲩⲥⲓⲁ,παρουσια,25
ⲁⲝⲓⲱⲙⲁ,αξιωμα,25
ⲕⲱⲗⲩ,κωλυ,25
ⲁⲥⲕⲏⲧⲏⲥ,ασκητησ,25
ⲹⲁⲗⲩⲥⲓⲥ,ⲹαλυσισ,25
ⲹⲉⲗⲡⲓⲍⲉ,ⲹελπιζε,25
ⲁⲣⲭⲉⲟⲥ,αρχεοσ,25
ⲕⲟⲓⲛⲱⲛⲓⲁ,κοινωνια,25
ⲇⲏⲙⲏⲧⲣⲓⲟⲥ,δημητριοσ,25
ⲅⲉ,γε,25
ⲁⲛⲁⲑⲉⲙⲁ,αναθεμα,25
ⲡⲗⲁⲧⲓⲁ,πλατια,25
ⲙⲟⲓⲣⲁ,μοιρα,25
ⲙⲟⲅⲓⲥ,μογισ,24
ⲡⲏⲅⲏ,πηγη,24
ⲡⲣⲁⲅⲙⲁⲧⲉⲩⲧⲏⲥ,πραγματευτησ,24
ⲉⲗⲁⲭⲓⲥⲧⲟⲥ,ελαχιστοσ,24
ⲁⲡⲟⲫⲁⲥⲓⲥ,αποφασισ,24
ⲁⲣⲭⲁⲓⲟⲥ,αρχαιοσ,24
ⲁⲩⲝⲁⲛⲉ,αυξανε,24
ⲡⲉⲣⲥⲓⲥ,περσισ,24
ⲕⲣⲓⲙⲁ,κριμα,24
ⲕⲁⲧⲁⲗⲁⲗⲉⲓ,καταλαλει,24
ⲹⲩⲡⲏⲣⲉⲧⲏⲥ,ⲹυπηρετησ,24
ⲙⲉⲧⲭⲣⲓⲥⲧⲟⲥ,μετχριστοσ,24
ⲁⲥⲓⲁ,ασια,24
ⲡⲁⲣⲁⲥⲧⲁⲧⲏⲥ,παραστατησ,24
ⲇⲩⲛⲁⲧⲟⲥ,δυνατοσ,23
ⲡⲁⲣⲹⲏⲥⲓⲁ,παρⲹησια,23
ⲕⲉⲫⲁⲗⲓⲥ,κεφαλισ,23
ⲹⲩⲡⲟⲙⲉⲓⲛⲉ,ⲹυπομεινε,23
ⲅⲁⲙⲟⲥ,γαμοσ,23
ⲡⲛⲉⲩⲙⲁⲧⲓⲕⲟⲥ,πνευματικοσ,23
ⲹⲣⲱⲙⲏ,ⲹρωμη,23
ⲥⲧⲉⲣⲉⲱⲙⲁ,στερεωμα,23
ⲉⲛⲟⲭⲟⲥ,ενοχοσ,23
ⲡⲉⲣⲓⲭⲱⲣⲟⲥ,περιχωροσ,23
ⲉⲅⲕⲱⲙⲓⲟⲛ,εγκωμιον,22
ⲡⲣⲉⲡⲉⲓ,πρεπει,22
ⲧⲉⲭⲛⲏ,τεχνη,22
ⲑⲏⲛ,θην,22
ⲁⲛⲁⲅⲕⲁⲓⲟⲛ,αναγκαιον,22
ⲛⲟⲓ,νοι,22
ⲉⲩⲫⲣⲟⲥⲩⲛⲏ,ευφροσυνη,22
ⲙⲉⲗⲉⲧⲏ,μελετη,22
ⲁⲣⲭⲓⲙⲁⲛⲇⲣⲓⲧⲏⲥ,αρχιμανδριτησ,22
ⲉⲡⲓⲧⲓⲙⲁ,επιτιμα,22
ⲉⲣⲧⲟⲗⲙⲁⲛ,ερτολμαν,22
ⲡⲁⲣⲁⲗⲏⲙⲡⲧⲱⲣ,παραλημπτωρ,22
ⲕⲁⲧⲉⲭⲉ,κατεχε,21
ⲡⲁⲣⲁⲇⲉⲓⲥⲟⲥ,παραδεισοσ,21
ⲉⲝⲉⲥⲧⲓ,εξεστι,21
ⲙⲉⲗⲉⲧⲁ,μελετα,21
ⲁⲡⲁⲧⲏ,απατη,21
ⲇⲟⲅⲙⲁ,δογμα,21
ⲙⲉⲧⲉⲩⲥⲉⲃⲏⲥ,μετευσεβησ,21
ⲕⲗⲏⲙⲁ,κλημα,21
ⲫⲱⲛⲏ,φωνη,20
ⲁⲣⲭⲏⲅⲟⲥ,αρχηγοσ,20
ⲭⲟⲣⲧⲟⲥ,χορτοσ,20
ⲑⲉⲟⲡⲓⲥⲧⲏ,θεοπιστη,20
ⲕⲁⲕⲉ,κακε,20
ⲙⲉⲥⲟⲡⲟⲧⲁⲙⲓⲁ,μεσοποταμια,20
ⲙⲁⲕⲁⲣⲓⲁ,μακαρια,20
ⲅⲉⲛⲏⲙⲁ,γενημα,20
ⲡⲗⲩⲅⲏ,πλυγη,20
ⲙⲁⲣⲧⲩⲣⲓⲁ,μαρτυρια,20
ⲹⲣⲱⲙⲁⲛⲟⲥ,ⲹρωμανοσ,20
ⲇⲓⲁⲕⲟⲛⲟⲥ,διακονοσ,20
ⲁⲛⲹⲁⲗⲓⲥⲕⲉ,ανⲹαλισκε,20
ⲙⲟⲛⲟⲅⲉⲛⲏⲥ,μονογενησ,20
ⲕⲁⲩⲙⲁ,καυμα,20
ⲉⲩⲥⲉⲃⲏⲥ,ευσεβησ,20
ⲁⲑⲁⲛⲁⲥⲓⲟⲥ,αθανασιοσ,20
ⲁⲛⲧⲓ,αντι,20
ⲃⲁⲡⲧⲓⲥⲧⲏⲥ,βαπτιστησ,20
ⲗⲉⲝⲓⲥ,λεξισ,20
ⲁⲗⲉⲕⲧⲱⲣ,αλεκτωρ,20
ⲁⲗⲗⲟⲅⲉⲛⲏⲥ,αλλογενησ,20
ⲥⲩⲛⲏⲑⲓⲁ,συνηθια,19
ⲥⲕⲉⲡⲁⲍⲉ,σκεπαζε,19
ⲕⲁⲑⲓⲥⲧⲁ,καθιστα,19
ⲇⲓⲱⲕⲉ,διωκε,19
ⲭⲣⲱ,χρω,19
ⲧⲉⲗⲉⲓⲟⲥ,τελειοσ,19
ⲁⲕⲧⲓⲛ,ακτιν,19
ⲹⲁⲗⲗⲁⲥⲁ,ⲹαλλασα,19
ⲡⲩⲗⲱⲛ,πυλων,19
ⲟⲧⲓ,οτι,19
ⲉⲣⲕⲁⲧⲏⲅⲟⲣⲓⲛ,ερκατηγοριν,19
ⲡⲗⲏⲣⲱⲙⲁ,πληρωμα,19
ⲃⲟⲏⲑⲉⲓⲁ,βοηθεια,18
ⲹⲟⲗⲟⲕⲟⲧⲧⲓⲛⲟⲥ,ⲹολοκοττινοσ,18
ⲫⲑⲟⲛⲉⲓ,φθονει,18
ⲹⲓⲕⲁⲛⲟⲥ,ⲹικανοσ,18
ⲕⲗⲁⲇⲟⲥ,κλαδοσ,18
ⲁⲡⲟⲗⲁⲩⲉ,απολαυε,18
ⲿⲕⲁⲣⲡⲟⲥ,ⲿκαρποσ,18
ⲭⲣⲏⲥⲿⲁⲛⲟⲥ,χρησⲿανοσ,18
ⲕⲩⲣⲟⲥ,κυροσ,18
ⲙⲱⲁⲃⲓⲧⲏⲥ,μωαβιτησ,18
ⲡⲟⲗⲉⲙⲉⲓ,πολεμει,18
ⲃⲁⲧⲟⲥ,βατοσ,18
ⲃⲉⲣⲉⲧⲁⲣⲓⲟⲥ,βερεταριοσ,18
ⲥⲫⲉⲣⲁ,σφερα,18
ⲻⲓⲙⲩⲥⲧⲏⲣⲓⲟⲛ,ⲻιμυστηριον,18
ⲡⲁⲣⲁⲃⲉⲛⲓⲛ,παραβενιν,18
ⲙⲛⲧⲁⲥⲉⲃⲏⲥ,μντασεβησ,17
ⲫⲁⲛⲧⲁⲥⲓⲁ,φαντασια,17
ⲕⲣⲟⲛⲟⲥ,κρονοσ,17
ⲡⲣⲟⲥⲧⲁⲧⲏⲥ,προστατησ,17
ⲁⲓⲧⲏⲙⲁ,αιτημα,17
ⲙⲁⲕⲁⲣⲓⲍⲉ,μακαριζε,17
ⲕⲁⲧⲁⲃⲟⲗⲏ,καταβολη,17
ⲕⲁⲥⲧⲣⲟⲛ,καστρον,17
ⲅⲉⲛⲛⲁⲓⲟⲥ,γενναιοσ,17
ⲹⲏⲣⲱⲇⲏⲥ,ⲹηρωδησ,17
ⲡⲁⲓⲇⲉⲩⲉ,παιδευε,17
ⲉⲩⲁⲅⲅⲉⲗⲓⲥⲧⲏⲥ,ευαγγελιστησ,17
ⲙⲁⲣⲧⲩⲣⲓⲟⲛ,μαρτυριον,17
ⲁⲧⲕⲁⲣⲡⲟⲥ,ατκαρποσ,17
ⲫⲁⲣⲓⲥⲥⲁⲓⲟⲥ,φαρισσαιοσ,17
ⲁⲛⲁⲕⲣⲓⲛⲉ,ανακρινε,17
ⲕⲟⲓⲛⲱⲛⲉⲓ,κοινωνει,17
ⲉⲡⲓⲥⲧⲏⲙⲏ,επιστημη,17
ⲅⲁⲓⲟⲥ,γαιοσ,17
ⲕⲱⲙⲏ,κωμη,17
ⲥⲁⲣⲕⲓⲕⲟⲥ,σαρκικοσ,17
ⲛⲟⲙⲟⲑⲉⲧⲏⲥ,νομοθετησ,17
ⲁⲥⲡⲁⲥⲙⲟⲥ,ασπασμοσ,17
ⲉⲣⲁⲛⲁⲭⲱⲣⲓⲛ,εραναχωριν,17
ⲹⲉⲣⲙⲏⲛⲉⲓⲁ,ⲹερμηνεια,17
ⲙⲉⲧⲁⲃⲟⲗⲏ,μεταβολη,17
ⲉⲣⲓⲛⲁⲓⲟⲥ,εριναιοσ,17
ⲕⲁⲗⲩⲙⲙⲁ,καλυμμα,17
ⲧⲁⲗⲉⲡⲱⲣⲓⲁ,ταλεπωρια,17
ⲉⲩⲁⲅⲣⲓ,ευαγρι,17
ⲕⲁⲡⲛⲟⲥ,καπνοσ,16
ⲇⲟⲕⲓⲙⲏ,δοκιμη,16
ⲥⲧⲉⲫⲁⲛⲟⲥ,στεφανοσ,16
ⲕⲓⲛⲇⲩⲛⲟⲥ,κινδυνοσ,16
ⲥⲁⲣⲕⲓⲕⲟⲛ,σαρκικον,16
ⲛⲁⲩⲕⲗⲏⲣⲟⲥ,ναυκληροσ,16
ⲉⲡⲁⲣⲭⲟⲥ,επαρχοσ,16
ⲭⲁⲣⲓⲥⲙⲁ,χαρισμα,16
ⲇⲉⲓⲡⲛⲟⲛ,δειπνον,16
ⲁⲅⲉⲗⲏ,αγελη,16
ⲧⲉⲭⲛⲓⲧⲏⲥ,τεχνιτησ,16
ⲣⲙⲟⲛⲁⲭⲟⲥ,ρμοναχοσ,16
ⲏⲇⲏ,ηδη,16
ⲟⲣⲅⲁⲛⲟⲛ,οργανον,16
ⲡⲁⲣⲑⲉⲛⲓⲁ,παρθενια,16
ⲁⲓⲧⲓⲁ,αιτια,16
ⲁⲣⲭⲏⲙⲁⲛⲇⲣⲓⲧⲏⲥ,αρχημανδριτησ,16
ⲉⲑⲛⲟⲥ,εθνοσ,16
ⲉⲣⲥⲉⲃⲉⲥⲑⲉ,ερσεβεσθε,16
ⲹⲏⲅⲟⲩⲙⲉⲛⲟⲥ,ⲹηγουμενοσ,16
ⲁⲣⲭⲏⲥⲩⲛⲁⲅⲱⲅⲟⲥ,αρχησυναγωγοσ,16
ⲧⲓⲙⲱⲣⲉⲓ,τιμωρει,16
ⲹⲟⲣⲁⲙⲁ,ⲹοραμα,16
ⲯⲁⲗⲧⲏⲣⲓⲟⲛ,ψαλτηριον,16
ⲕⲉⲣⲁⲙⲉⲩⲥ,κεραμευσ,16
ⲡⲣⲟⲃⲁⲗⲉ,προβαλε,16
ⲉⲣⲙⲁⲥⲧⲓⲅⲅⲟⲓⲛ,ερμαστιγγοιν,16
ⲇⲓⲁⲕⲱⲛⲉⲓ,διακωνει,15
ⲁⲣⲭⲓⲥⲧⲣⲁⲧⲏⲅⲟⲥ,αρχιστρατηγοσ,15
ⲭⲉⲣⲟⲩⲃⲓⲛ,χερουβιν,15
ⲁⲓⲭⲙⲁⲗⲱⲥⲓⲁ,αιχμαλωσια,15
ⲇⲏⲙⲓⲟⲩⲣⲅⲟⲥ,δημιουργοσ,15
ⲥⲩⲛⲏⲑⲉⲓⲁ,συνηθεια,15
ⲡⲩⲅⲏ,πυγη,15
ⲹⲟⲙⲟⲓⲱⲥ,ⲹομοιωσ,15
ⲭⲁⲣⲧⲏⲥ,χαρτησ,15
ⲹⲁⲣⲡⲁⲍⲉ,ⲹαρπαζε,15
ⲥⲩⲛⲧⲉⲗⲓⲁ,συντελια,15
ⲁⲓⲥⲑⲏⲥⲓⲥ,αισθησισ,15
ⲧⲁⲭⲁ,ταχα,15
ⲁⲛⲁⲧⲟⲗⲏ,ανατολη,15
ⲕⲏⲧⲟⲥ,κητοσ,15
ⲕⲣⲓⲕⲟⲥ,κρικοσ,15
ⲕⲟⲓⲛⲱⲛⲟⲥ,κοινωνοσ,15
ⲕⲁⲑⲉⲇⲣⲁ,καθεδρα,15
ⲥⲧⲟⲓⲭⲓⲟⲛ,στοιχιον,15
ⲻⲓⲃⲁⲡⲧⲓⲥⲙⲁ,ⲻιβαπτισμα,15
ⲉⲗⲁⲭⲓⲥⲧⲟⲛ,ελαχιστον,15
ⲯⲏⲫⲟⲥ,ψηφοσ,15
ⲹⲩⲡⲟⲧⲁⲅⲏ,ⲹυποταγη,15
ⲇⲣⲟⲙⲟⲥ,δρομοσ,15
ⲫⲁⲣⲓⲥⲁⲓⲟⲥ,φαρισαιοσ,15
ⲉⲣⲁⲥⲡⲁⲍⲉⲥⲑⲉ,ερασπαζεσθε,15
ⲟⲩⲭⲓ,ουχι,15
ⲕⲁⲩⲥⲱⲛ,καυσων,15
ⲫⲩⲗⲁⲝ,φυλαξ,15
ⲁⲛⲁⲃⲁⲑⲙⲟⲥ,αναβαθμοσ,15
ⲡⲁⲧⲁⲥⲥⲉⲓ,πατασσει,14
ⲙⲛⲧⲙⲁⲣⲧⲩⲣⲟⲥ,μντμαρτυροσ,14
ⲉⲛⲱⲭⲗⲉⲓ,ενωχλει,14
ⲡⲣⲉⲥⲃⲉⲩⲧⲏⲥ,πρεσβευτησ,14
ⲁⲣⲭⲉⲥⲑⲁⲓ,αρχεσθαι,14
ⲹⲟⲙⲟⲟⲩⲥⲓⲟⲛ,ⲹομοουσιον,14
ⲡⲣⲟⲥⲧⲁⲅⲙⲁ,προσταγμα,14
ⲥⲩⲛⲹⲉⲇⲣⲓⲟⲛ,συνⲹεδριον,14
ⲹⲏⲡⲁⲣ,ⲹηπαρ,14
ⲥⲧⲁⲇⲓⲟⲛ,σταδιον,14
ⲕⲁⲧⲟⲣⲑⲟⲩ,κατορθου,14
ⲿⲗⲟⲅⲟⲥ,ⲿλογοσ,14
ⲑⲉⲟⲗⲟⲅⲟⲥ,θεολογοσ,14
ⲗⲟⲅⲭⲏ,λογχη,14
ⲁⲡⲟⲣⲉⲓ,απορει,14
ⲕⲟⲡⲣⲓⲁ,κοπρια,14
ⲉⲣⲧⲓⲙⲁⲛ,ερτιμαν,14
ⲥⲕⲟⲡⲟⲥ,σκοποσ,14
ⲁⲅⲁⲡⲏⲧⲟⲥ,αγαπητοσ,14
ⲗⲁⲍⲁⲣⲟⲥ,λαζαροσ,14
ⲧⲣⲓⲇⲩⲛⲁⲙⲟⲥ,τριδυναμοσ,14
ⲙⲛⲧⲉⲩⲥⲉⲃⲏⲥ,μντευσεβησ,13
ⲥⲧⲉⲫⲁⲛⲟⲩ,στεφανου,13
ⲥⲧⲟⲗⲓⲍⲉ,στολιζε,13
ⲡⲁⲣⲹⲓⲥⲧⲁ,παρⲹιστα,13
ⲥⲕⲉⲩⲏ,σκευη,13
ⲹⲟⲙⲟⲗⲟⲅⲓⲁ,ⲹομολογια,13
ⲑⲩⲣⲓⲟⲛ,θυριον,13
ⲕⲏⲡⲟⲥ,κηποσ,13
ⲕⲁⲑⲟⲗⲓⲕⲏ,καθολικη,13
ⲑⲉⲁⲧⲣⲟⲛ,θεατρον,13
ⲁⲥⲑⲉⲛⲏⲥ,ασθενησ,13
ⲙⲁⲣⲅⲁⲣⲓⲧⲏⲥ,μαργαριτησ,13
ⲕⲁⲧⲟⲣⲑⲱⲙⲁ,κατορθωμα,13
ⲉⲣⲁⲅⲱⲛⲓⲍⲉⲥⲑⲉ,εραγωνιζεσθε,13
ⲉⲩⲕⲉⲣⲓⲁ,ευκερια,13
ⲃⲏⲑⲁⲛⲓⲁ,βηθανια,13
ⲥⲓⲗⲁⲥ,σιλασ,13
ⲉⲡⲓ,επι,13
ⲁⲡⲟⲣⲣⲟⲓⲁ,απορροια,13
ⲍⲉⲩⲥ,ζευσ,13
ⲧⲉⲗⲟⲥ,τελοσ,13
ⲥⲧⲣⲁⲧⲓⲁ,στρατια,12
ⲕⲉⲗⲉⲃⲓⲛ,κελεβιν,12
ⲕⲁⲗⲉⲓ,καλει,12
ⲭⲁⲗⲕⲓⲟⲛ,χαλκιον,12
ⲻⲓⲥⲁⲣⲝ,ⲻισαρξ,12
ⲉⲡⲉⲓ,επει,12
ⲕⲟⲓⲧⲱⲛ,κοιτων,12
ⲉⲓⲇⲟⲥ,ειδοσ,12
ⲇⲓⲁⲧⲁⲅⲙⲁ,διαταγμα,12
ⲡⲁⲧⲁⲥⲥⲉ,πατασσε,12
ⲁⲑⲉⲧⲉⲓ,αθετει,12
ⲕⲓⲛⲇⲩⲛⲉⲩⲉ,κινδυνευε,12
ⲡⲟⲗⲓⲧⲉⲩⲉ,πολιτευε,12
ⲥⲡⲏⲗⲁⲓⲟⲛ,σπηλαιον,12
ⲡⲁⲣⲇⲁⲗⲓⲥ,παρδαλισ,12
ⲣⲉⲵⲳⲙⲳⲉⲉⲓⲇⲱⲗⲟⲛ,ρεⲵⲳμⲳεειδωλον,12
ⲉⲛⲉⲣⲅⲉⲓⲁ,ενεργεια,12
ⲕⲟⲥⲙⲏⲥⲓⲥ,κοσμησισ,12
ⲁⲛⲧⲱⲛⲓⲟⲥ,αντωνιοσ,12
ⲙⲛⲧⲁⲙⲉⲗⲏⲥ,μνταμελησ,12
ⲇⲓⲕⲁⲓⲱⲙⲁ,δικαιωμα,12
ⲙⲛⲧⲧⲉⲗⲓⲟⲥ,μνττελιοσ,12
ⲡⲏⲣⲁ,πηρα,12
ⲕⲁⲧⲁⲅⲉⲓⲟⲛ,καταγειον,12
ⲕⲟⲣⲓⲛⲑⲟⲥ,κορινθοσ,12
ⲫⲟⲓⲛⲓⲕⲏ,φοινικη,12
ⲕⲱⲗⲩⲉ,κωλυε,12
ⲡⲗⲏⲅⲏ,πληγη,12
ⲅⲁⲍⲟⲫⲩⲗⲁⲕⲓⲟⲛ,γαζοφυλακιον,12
ⲥⲧⲩⲗⲟⲥ,στυλοσ,12
ⲁⲣⲓⲃⲟⲏⲑⲓⲛ,αριβοηθιν,12
ⲡⲟⲣⲛⲓⲁ,πορνια,12
ⲹⲩⲡⲉⲣⲉⲧⲏⲥ,ⲹυπερετησ,12
ⲉⲣⲇⲓⲁⲕⲣⲓⲛⲓⲛ,ερδιακρινιν,12
ⲉⲣⲕⲁⲧⲁⲫⲣⲟⲛⲓⲛ,ερκαταφρονιν,12
ⲥⲩⲛⲉⲓⲇⲏⲥⲓⲥ,συνειδησισ,12
ⲉⲣⲁⲑⲉⲧⲓⲛ,εραθετιν,12
ⲉⲣⲭⲣⲁⲥⲑⲉ,ερχρασθε,12
ⲅⲉⲱⲣⲅⲓⲟⲥ,γεωργιοσ,12
ⲁⲭⲁⲓⲁ,αχαια,12
ⲹⲩⲇⲣⲓⲁ,ⲹυδρια,12
ⲁⲥⲫⲁⲗⲓⲁ,ασφαλια,12
ⲁⲩⲑⲉⲛⲧⲏⲥ,αυθεντησ,12
ⲅⲛⲱⲥⲓⲥ,γνωσισ,12
ⲁⲡⲟⲧⲉⲗⲉⲥⲙⲁ,αποτελεσμα,12
ⲕⲟⲗⲩⲙⲃⲏⲑⲣⲁ,κολυμβηθρα,12
ⲅⲁⲍⲁ,γαζα,12
ⲡⲁⲣⲁⲥⲧⲁⲥ,παραστασ,12
ⲁⲡⲟⲗⲟⲅⲓⲍⲉ,απολογιζε,11
ⲕⲁⲧⲏⲅⲟⲣⲟⲥ,κατηγοροσ,11
ⲁⲅⲅⲉⲗⲓⲕⲟⲛ,αγγελικον,11
ⲥⲕⲁⲫⲟⲥ,σκαφοσ,11
ⲡⲗⲁⲛⲟⲥ,πλανοσ,11
ⲥⲱⲧⲏⲣⲓⲁ,σωτηρια,11
ⲧⲁⲭⲩ,ταχυ,11
ⲁⲅⲓⲟⲛ,αγιον,11
ⲧⲟⲗⲙⲏⲣⲓⲁ,τολμηρια,11
ⲉⲩⲅⲉⲛⲏⲥ,ευγενησ,11
ⲹⲉⲃⲇⲟⲙⲁⲥ,ⲹεβδομασ,11
ⲥⲕⲉⲡⲏ,σκεπη,11
ⲹⲉⲗⲟⲥ,ⲹελοσ,11
ⲹⲩⲡⲟⲥⲧⲁⲥⲓⲥ,ⲹυποστασισ,11
ⲭⲣⲏⲥⲧⲟⲥ,χρηστοσ,11
ⲛⲩⲙⲫⲓⲟⲥ,νυμφιοσ,11
ⲙⲛⲧⲁⲡⲓⲥⲧⲟⲥ,μνταπιστοσ,11
ⲁⲗⲉⲝⲁⲛⲇⲣⲟⲥ,αλεξανδροσ,11
ⲥⲧⲉⲫⲁⲛⲁ,στεφανα,11
ⲡⲣⲟⲑⲉⲥⲓⲥ,προθεσισ,11
ⲿⲹⲁⲡ,ⲿⲹαπ,11
ⲧⲁⲗⲁⲓⲡⲱⲣⲓⲁ,ταλαιπωρια,11
ⲯⲩⲭⲓⲕⲟⲛ,ψυχικον,11
ⲇⲓⲁⲯⲁⲗⲙⲁ,διαψαλμα,11
ⲉⲝⲁⲡⲓⲛⲁ,εξαπινα,11
ⲉⲣⲁⲛⲉⲭⲉⲥⲑⲉ,ερανεχεσθε,11
ⲹⲉⲣⲉⲥⲓⲥ,ⲹερεσισ,11
ⲕⲏⲫⲁ,κηφα,11
ⲏⲣⲱⲇⲓⲁⲥ,ηρωδιασ,11
ⲁⲣⲓⲉⲧⲓⲛ,αριετιν,11
ⲃⲓⲛⲁⲻ,βιναⲻ,11
ⲉⲣⲙⲟⲛⲁⲭⲟⲥ,ερμοναχοσ,11
ⲥⲏⲙⲁⲛⲉ,σημανε,11
ⲧⲣⲓⲇⲩⲛⲁⲙⲓⲥ,τριδυναμισ,11
ⲥⲩⲛⲍⲩⲅⲟⲥ,συνζυγοσ,11
ⲥⲁⲙⲁⲣⲓⲧⲏⲥ,σαμαριτησ,11
ⲥⲫⲁⲓⲣⲁ,σφαιρα,11
ⲙⲓⲧⲣⲁ,μιτρα,11
ⲯⲉⲩⲇⲟⲡⲣⲟⲫⲏⲧⲏⲥ,ψευδοπροφητησ,11
ⲙⲁⲅⲓⲁ,μαγια,10
ⲕⲩⲣⲓⲟⲥ,κυριοσ,10
ⲧⲁⲥⲥⲉ,τασσε,10
ⲭⲁⲙⲱⲥ,χαμωσ,10
ⲧⲁⲭⲏ,ταχη,10
ⲁⲣⲧⲉⲙⲓⲥ,αρτεμισ,10
ⲃⲁⲥⲓⲗⲉⲓⲧⲏⲥ,βασιλειτησ,10
ⲕⲣⲁⲧⲟⲥ,κρατοσ,10
ⲡⲁⲛⲹⲟⲡⲗⲓⲁ,πανⲹοπλια,10
ⲙⲛⲧⲣⲉⲵⲳⲙⲳⲉⲉⲓⲇⲱⲗⲟⲛ,μντρεⲵⲳμⲳεειδωλον,10
ⲟⲓⲕⲟⲛⲟⲙⲉⲓ,οικονομει,10
ⲫⲱⲥⲧⲏⲣ,φωστηρ,10
ⲛⲧⲟⲗⲏ,ντολη,10
ⲹⲩⲡⲟⲕⲣⲓⲛⲉ,ⲹυποκρινε,10
ⲁⲣⲉⲥⲕⲉ,αρεσκε,10
ⲹⲁⲓⲣⲉⲥⲓⲥ,ⲹαιρεσισ,10
ⲥⲁⲛⲇⲁⲗⲓⲟⲛ,σανδαλιον,10
ⲡⲉⲣⲓⲍⲱⲙⲁ,περιζωμα,10
ⲃⲁⲣⲟⲥ,βαροσ,10
ⲧⲓⲙⲱⲣⲓⲁ,τιμωρια,10
ⲯⲁⲗⲗⲉⲓ,ψαλλει,10
ⲭⲟⲣⲟⲥ,χοροσ,10
ⲕⲣⲁⲛⲓⲟⲛ,κρανιον,10
ⲭⲟⲗⲏ,χολη,10
ⲡⲣⲟⲡⲁⲧⲱⲣ,προπατωρ,10
ⲭⲁⲗⲓⲛⲟⲩⲥ,χαλινουσ,10
ⲙⲉⲧⲙⲟⲛⲁⲭⲟⲥ,μετμοναχοσ,10
ⲹⲉⲓⲣⲏⲛⲏ,ⲹειρηνη,10
ⲁⲩⲑⲁⲧⲏⲥ,αυθατησ,10
ⲁⲡⲟⲑⲏⲕⲏ,αποθηκη,10
ⲡⲁⲣⲁⲃⲁⲧⲏⲥ,παραβατησ,10
ⲇⲓⲛⲁ,δινα,10
ⲡⲣⲟⲑⲉⲥⲙⲓⲁ,προθεσμια,9
ⲉⲡⲓⲧⲣⲟⲡⲟⲥ,επιτροποσ,9
ⲥⲉⲙⲛⲏ,σεμνη,9
ⲡⲣⲉⲥⲃⲉⲩⲉ,πρεσβευε,9
ⲿⲁⲡⲟⲫⲁⲥⲓⲥ,ⲿαποφασισ,9
ⲇⲓⲕⲁⲥⲧⲏⲣⲓⲟⲛ,δικαστηριον,9
ⲁⲛⲿⲟⲭⲉⲓⲁ,ανⲿοχεια,9
ⲟⲛⲟⲙⲁⲍⲉ,ονομαζε,9
ⲭⲣⲓⲥⲿⲁⲛⲟⲥ,χρισⲿανοσ,9
ⲁⲫⲟⲣⲙⲏ,αφορμη,9
ⲙⲁⲥⲧⲓⲅⲟⲩ,μαστιγου,9
ⲁⲛⲧⲓⲭⲣⲓⲥⲧⲟⲥ,αντιχριστοσ,9
ⲱⲇⲏ,ωδη,9
ⲧⲣⲩⲫⲁ,τρυφα,9
ⲡⲣⲟⲧⲣⲉⲡⲉ,προτρεπε,9
ⲡⲣⲟⲥⲟⲩⲟⲉⲓⲳ,προσουοειⲳ,9
ⲑⲉⲱⲣⲓⲁ,θεωρια,9
ⲕⲟⲛⲓⲁ,κονια,9
ⲹⲓⲇⲓⲱⲧⲏⲥ,ⲹιδιωτησ,9
ⲁⲓⲭⲙⲁⲗⲱⲧⲟⲥ,αιχμαλωτοσ,9
ⲙⲛⲧⲁⲣⲭⲏⲉⲡⲓⲥⲕⲟⲡⲟⲥ,μνταρχηεπισκοποσ,9
ⲙⲟⲭⲗⲟⲥ,μοχλοσ,9
ⲡⲓⲛⲁⲝ,πιναξ,9
ⲇⲓⲁⲕⲣⲓⲛⲉ,διακρινε,9
ⲅⲉⲛⲟⲓⲧⲟ,γενοιτο,9
ⲣⲉⲡⲓⲥⲕⲟⲡⲟⲥ,ρεπισκοποσ,9
ⲝⲉⲥⲧⲏⲥ,ξεστησ,9
ⲥⲩⲗⲁ,συλα,9
ⲁⲙⲉⲗⲉⲓⲁ,αμελεια,9
ⲹⲉⲝⲓⲥ,ⲹεξισ,9
ⲙⲉⲧⲫⲓⲗⲟⲥⲟⲫⲟⲥ,μετφιλοσοφοσ,9
ⲙⲉⲛⲧⲟⲓ,μεντοι,9
ⲡⲁⲣⲁⲥⲕⲉⲩⲏ,παρασκευη,9
