coptic_lemma,greek_form,count
ⲡⲁⲣⲁⲕⲁⲗⲉⲓ,παρακαλει,134
ⲁⲣⲉⲧⲏ,αρετη,134
ⲡⲁⲣⲉⲙⲃⲟⲗⲏ,παρεμβολη,131
ⲡⲟⲛⲏⲣⲟⲛ,πονηρον,129
ⲁⲛⲟⲙⲟⲥ,ανομοσ,129
ⲁⲣⲁ,αρα,128
ⲉⲡⲓⲑⲩⲙⲓⲁ,επιθυμια,127
ⲧⲣⲁⲡⲉⲍⲁ,τραπεζα,126
ⲉⲓⲙⲏⲧⲓ,ειμητι,126
ⲙⲁⲣⲧⲩⲣⲟⲥ,μαρτυροσ,126
ⲕⲁⲣⲡⲟⲥ,καρποσ,125
ⲗⲟⲓⲡⲟⲛ,λοιπον,124
ⲙⲉⲧⲁⲛⲟⲉⲓ,μετανοει,123
ⲁⲛⲁⲅⲕⲏ,αναγκη,122
ⲧⲩⲡⲟⲥ,τυποσ,120
ⲑⲩⲥⲓⲁ,θυσια,118
ⲇⲣⲁⲕⲱⲛ,δρακων,118
ⲛⲟⲉⲓ,νοει,117
ⲙⲁⲗⲓⲥⲧⲁ,μαλιστα,117
ⲕⲗⲏⲣⲟⲥ,κληροσ,115
ⲉⲣⲹⲉⲗⲡⲓⲥ,ερⲹελπισ,115
ⲙⲏⲡⲱⲥ,μηπωσ,114
ⲙⲏⲡⲟⲧⲉ,μηποτε,114
ⲭⲏⲣⲁ,χηρα,112
ⲕⲗⲏⲣⲟⲛⲟⲙⲉⲓ,κληρονομει,112
ⲹⲟⲧⲉ,ⲹοτε,112
ⲡⲁⲣⲁⲇⲓⲥⲟⲥ,παραδισοσ,110
ⲟⲣⲅⲏ,οργη,108
ⲡⲓⲥⲧⲟⲥ,πιστοσ,107
ⲭⲣⲏⲙⲁ,χρημα,107
ⲡⲣⲟⲥⲉⲩⲭⲏ,προσευχη,107
ⲕⲣⲓⲛⲉ,κρινε,106
ⲥⲫⲣⲁⲅⲓⲥ,σφραγισ,104
ⲭⲁⲣⲓⲍⲉ,χαριζε,103
ⲫⲟⲣⲉⲓ,φορει,103
ⲭⲱⲣⲓⲥ,χωρισ,102
ⲁⲣⲭⲉⲓ,αρχει,101
ⲑⲗⲓⲯⲓⲥ,θλιψισ,101
