coptic,greek,pmi,count,source
ⲁⲥⲫⲁⲗⲓⲍⲉ,ασφαλιζε,,,loanword_only
ⲥⲭⲟⲗⲏ,σχολη,,,loanword_only
ⲕⲁⲧⲁⲕⲣⲓⲙⲁ,κατακριμα,,,loanword_only
ⲣⲭⲣⲉⲓⲁ,ρχρεια,,,loanword_only
ⲗⲏⲥⲧⲏⲥ,ληστησ,,,loanword_only
ⲟⲛⲟⲙⲁⲥⲧⲟⲥ,ονομαστοσ,,,loanword_only
ⲕⲉⲗⲁⲫⲟⲥ,κελαφοσ,,,loanword_only
ⲟⲛⲧⲱⲥ,οντωσ,,,loanword_only
ⲥⲡⲟⲩⲇⲉⲟⲥ,σπουδεοσ,,,loanword_only
ⲁⲥⲫⲁⲗⲓⲁ,ασφαλια,,,loanword_only
ⲙⲉⲧⲁⲅⲓⲟⲥ,μεταγιοσ,,,loanword_only
ⲇⲱⲣⲟⲥ,δωροσ,,,loanword_only
ⲇⲓⲁⲯⲁⲗⲙⲁ,διαψαλμα,,,loanword_only
ⲃⲁⲡⲧⲓⲍⲉ,βαπτιζε,,,loanword_only
ⲕⲩⲙⲃⲁⲗⲟⲛ,κυμβαλον,,,loanword_only
ⲧⲉⲭⲛⲏ,τεχνη,,,loanword_only
ⲥⲩⲅⲅⲉⲛⲓⲁ,συγγενια,,,loanword_only
ⲡⲁⲓ,παι,,,loanword_only
ⲡⲁⲧⲣⲓⲁⲣⲭⲏⲥ,πατριαρχησ,,,loanword_only
ⲁⲇⲓⲕⲟⲥ,αδικοσ,,,loanword_only
ⲫⲁⲛⲟⲥ,φανοσ,,,loanword_only
ⲟⲓⲕⲟⲛⲟⲙⲓⲁ,οικονομια,,,loanword_only
ⲡⲓⲥⲧⲉⲩⲉ,πιστευε,,,loanword_only
ⲥⲡⲟⲣⲁ,σπορα,,,loanword_only
ⲛⲝ,νξ,,,loanword_only
ⲉⲡⲁⲣⲭⲓⲁ,επαρχια,,,loanword_only
ⲁⲥⲕⲏⲥⲓⲥ,ασκησισ,,,loanword_only
ⲕⲟⲥⲙⲟⲕⲣⲁⲧⲱⲣ,κοσμοκρατωρ,,,loanword_only
ⲡⲁⲣⲁⲗⲓⲁ,παραλια,,,loanword_only
ⲣⲡⲉⲓⲣⲁⲍⲉ,ρπειραζε,,,loanword_only
ⲕⲁⲧⲁⲥⲧⲁⲥⲓⲥ,καταστασισ,,,loanword_only
ⲟⲓⲕⲟⲥ,οικοσ,,,loanword_only
ⲕⲟⲗⲁⲥⲓⲥ,κολασισ,,,loanword_only
ⲙⲁⲩⲣⲱⲧⲁⲛⲓⲁ,μαυρωτανια,,,loanword_only
ⲥⲧⲟⲗⲓⲍⲉ,στολιζε,,,loanword_only
ⲃⲁⲡⲧⲓⲥⲧⲏⲥ,βαπτιστησ,,,loanword_only
ⲭⲁⲗⲕⲓⲛ,χαλκιν,,,loanword_only
ⲗⲩⲧⲣⲁ,λυτρα,,,loanword_only
ⲕⲧⲏⲥⲓⲥ,κτησισ,,,loanword_only
ⲯⲏⲫⲟⲥ,ψηφοσ,,,loanword_only
ⲉⲡⲟⲩⲣⲁⲛⲓⲟⲛ,επουρανιον,,,loanword_only
ⲡⲁⲣⲁⲥⲧⲁⲧⲏⲥ,παραστατησ,,,loanword_only
ⲗⲟⲓⲡⲟⲛ,λοιπον,,,loanword_only
ⲁⲝⲓⲟⲥ,αξιοσ,,,loanword_only
ⲉⲣⲁⲛⲉⲭⲉⲥⲑⲉ,ερανεχεσθε,,,loanword_only
ⲁⲥⲕⲉⲓ,ασκει,,,loanword_only
ⲁⲭⲱⲣⲏⲧⲟⲥ,αχωρητοσ,,,loanword_only
ⲗⲉⲩⲓⲧⲏⲥ,λευιτησ,,,loanword_only
ⲥⲡⲟⲩⲇⲁⲓⲟⲥ,σπουδαιοσ,,,loanword_only
ⲉⲗⲁⲭⲓⲥⲧⲟⲥ,ελαχιστοσ,,,loanword_only
ⲥⲡⲁⲧⲁⲗⲁ,σπαταλα,,,loanword_only
ⲁⲩⲧⲟⲕⲣⲁⲧⲱⲣ,αυτοκρατωρ,,,loanword_only
ⲉⲣⲉⲡⲓⲃⲟⲩⲗⲉⲩⲓⲛ,ερεπιβουλευιν,,,loanword_only
ⲁⲓⲥⲑⲁⲛⲉ,αισθανε,,,loanword_only
ⲧⲏⲡⲟⲥ,τηποσ,,,loanword_only
ⲃⲟⲩⲛⲟⲥ,βουνοσ,,,loanword_only
ⲉⲣⲧⲟⲗⲙⲁⲛ,ερτολμαν,,,loanword_only
ⲇⲓⲁⲕⲱⲛⲟⲥ,διακωνοσ,,,loanword_only
ⲁⲣⲁ,αρα,,,loanword_only
ⲕⲁⲧⲁⲃⲟⲗⲏ,καταβολη,,,loanword_only
ⲕⲉⲗⲉⲩⲥⲓⲥ,κελευσισ,,,loanword_only
ⲫⲓⲗⲟⲑⲉⲟⲥ,φιλοθεοσ,,,loanword_only
ⲁⲣⲕⲁⲇⲓⲟⲥ,αρκαδιοσ,,,loanword_only
ⲓⲟⲩⲇⲁⲓ,ιουδαι,,,loanword_only
ⲇⲓⲁⲕⲟⲛⲉⲓ,διακονει,,,loanword_only
ⲣⲑⲩⲥⲓⲁ,ρθυσια,,,loanword_only
ⲕⲣⲁⲧⲏⲣ,κρατηρ,,,loanword_only
ⲕⲁⲧⲏⲅⲟⲣⲟⲥ,κατηγοροσ,,,loanword_only
ⲡⲩⲅⲏ,πυγη,,,loanword_only
ⲙⲓⲥⲑⲱⲧⲏⲥ,μισθωτησ,,,loanword_only
ⲕⲁⲑⲁⲣⲟⲥ,καθαροσ,,,loanword_only
ⲙⲛⲧⲁⲩⲑⲁⲇⲏⲥ,μνταυθαδησ,,,loanword_only
ⲁⲣⲭⲏ,αρχη,,,loanword_only
ⲕⲣⲓⲥⲓⲥ,κρισισ,,,loanword_only
ⲕⲱⲗⲩ,κωλυ,,,loanword_only
ⲡⲉⲣⲓⲕⲁⲑⲁⲣⲙⲁ,περικαθαρμα,,,loanword_only
ⲉⲣⲉⲡⲓⲑⲩⲙⲓⲛ,ερεπιθυμιν,,,loanword_only
ⲉⲩⲕⲉⲣⲓⲁ,ευκερια,,,loanword_only
ⲙⲛⲧⲁⲡⲟⲧⲁⲕⲧⲓⲕⲟⲥ,μνταποτακτικοσ,,,loanword_only
ⲥⲩⲛⲕⲗⲏⲧⲓⲕⲏ,συνκλητικη,,,loanword_only
ⲥⲩⲛⲅⲉⲛⲏⲥ,συνγενησ,,,loanword_only
ⲇⲁⲓⲙⲟⲛⲓⲟⲛ,δαιμονιον,,,loanword_only
ⲁⲛⲑⲩⲡⲁⲧⲟⲥ,ανθυπατοσ,,,loanword_only
ⲁⲥⲉⲃⲏⲥ,ασεβησ,,,loanword_only
ⲙⲛⲧⲕⲁⲕⲟⲩⲣⲅⲟⲥ,μντκακουργοσ,,,loanword_only
ⲁⲑⲉⲧⲉⲓ,αθετει,,,loanword_only
ⲍⲱⲛⲏ,ζωνη,,,loanword_only
ⲕⲁⲓⲣⲱⲥ,καιρωσ,,,loanword_only
ⲫⲩⲗⲓⲝ,φυλιξ,,,loanword_only
ⲙⲛⲧⲥⲉⲙⲛⲟⲥ,μντσεμνοσ,,,loanword_only
ⲭⲉⲓⲙⲏⲧⲓ,χειμητι,,,loanword_only
ⲗⲟⲅⲓⲕⲟⲛ,λογικον,,,loanword_only
ⲁⲡⲉⲓⲗⲉ,απειλε,,,loanword_only
ⲣⲙⲛⲕⲟⲥⲙⲟⲥ,ρμνκοσμοσ,,,loanword_only
ⲡⲏⲅⲏ,πηγη,,,loanword_only
ⲛⲉⲩⲣⲟⲛ,νευρον,,,loanword_only
ⲙⲉⲧⲁⲃⲟⲗⲏ,μεταβολη,,,loanword_only
ⲉⲣⲙⲉⲧⲁⲛⲟⲉⲓⲛ,ερμετανοειν,,,loanword_only
ⲡⲟⲗⲉⲙⲓⲕⲟⲛ,πολεμικον,,,loanword_only
ⲁⲡⲟⲥⲕⲉⲩⲏ,αποσκευη,,,loanword_only
ⲟⲣⲭⲉ,ορχε,,,loanword_only
ⲡⲁⲣⲁⲓⲧⲉⲓ,παραιτει,,,loanword_only
ⲛⲟⲙⲓⲥⲙⲁ,νομισμα,,,loanword_only
ⲫⲁⲣⲙⲁⲅⲓⲁ,φαρμαγια,,,loanword_only
ⲡⲁⲣⲁⲧⲏⲣⲉⲓ,παρατηρει,,,loanword_only
ⲛⲟⲩⲙⲉⲣⲟⲛ,νουμερον,,,loanword_only
ⲥⲧⲁⲩⲣⲟⲩ,σταυρου,,,loanword_only
ⲇⲓⲕⲉⲟⲥ,δικεοσ,,,loanword_only
ⲙⲉⲧⲇⲟⲗⲟⲥ,μετδολοσ,,,loanword_only
ⲥⲧⲩⲭⲟⲥ,στυχοσ,,,loanword_only
ⲕⲟⲣⲓⲛⲑⲟⲥ,κορινθοσ,,,loanword_only
ⲡⲉⲗⲁⲅⲟⲥ,πελαγοσ,,,loanword_only
ⲙⲁⲓⲡⲉⲭⲣⲓⲥⲧⲟⲥ,μαιπεχριστοσ,,,loanword_only
ⲥⲉⲃⲁⲥⲧⲓⲁⲛⲟⲥ,σεβαστιανοσ,,,loanword_only
ⲡⲗⲩⲅⲏ,πλυγη,,,loanword_only
ⲉⲣⲕⲁⲧⲁⲫⲣⲟⲛⲓⲛ,ερκαταφρονιν,,,loanword_only
ⲯⲁⲗⲗⲉⲓ,ψαλλει,,,loanword_only
ⲙⲉⲗⲏⲧⲁ,μελητα,,,loanword_only
ⲉⲣⲧⲓⲙⲁⲛ,ερτιμαν,,,loanword_only
ⲑⲉⲱⲣⲉⲓ,θεωρει,,,loanword_only
ⲑⲣⲓⲥⲕⲓⲁ,θρισκια,,,loanword_only
ⲣⲡⲁⲣⲁⲓⲧⲉⲓ,ρπαραιτει,,,loanword_only
ⲕⲧⲉⲯⲩⲭⲏ,κτεψυχη,,,loanword_only
ⲉⲣⲯⲁⲗⲗⲉⲓⲛ,ερψαλλειν,,,loanword_only
ⲁⲣⲕⲟⲥ,αρκοσ,,,loanword_only
ⲡⲣⲟⲃⲗⲏⲙⲁ,προβλημα,,,loanword_only
ⲁⲉⲧⲟⲥ,αετοσ,,,loanword_only
ⲥⲕⲩⲛⲏ,σκυνη,,,loanword_only
ⲕⲣⲟⲛⲟⲥ,κρονοσ,,,loanword_only
ⲫⲓⲗⲁⲅⲣⲓⲟⲥ,φιλαγριοσ,,,loanword_only
ⲣⲙⲟⲛⲁⲭⲟⲥ,ρμοναχοσ,,,loanword_only
ⲉⲛⲉⲣⲅⲏⲙⲁ,ενεργημα,,,loanword_only
ⲧⲟⲧⲉ,τοτε,,,loanword_only
ⲙⲉⲧⲁ,μετα,,,loanword_only
ⲉⲡⲓⲕⲁⲑⲉⲣⲙⲁ,επικαθερμα,,,loanword_only
ⲃⲁⲗⲗⲁⲧⲓⲟⲛ,βαλλατιον,,,loanword_only
ⲡⲗⲁⲧⲉⲓⲁ,πλατεια,,,loanword_only
ⲁⲅⲁⲡⲏⲧⲟⲥ,αγαπητοσ,,,loanword_only
ⲁⲥⲕⲟⲥ,ασκοσ,,,loanword_only
ⲃⲁⲃⲩⲗⲱⲛ,βαβυλων,,,loanword_only
ⲕⲩⲣⲓⲁⲕⲏ,κυριακη,,,loanword_only
ⲉⲣⲛⲭⲣⲓⲁ,ερνχρια,,,loanword_only
ⲇⲓⲕⲁⲓⲟⲥⲩⲛⲏ,δικαιοσυνη,,,loanword_only
ⲕⲁⲕⲓⲁ,κακια,,,loanword_only
ⲭⲟⲣⲟⲥ,χοροσ,,,loanword_only
ⲧⲉⲩⲭⲟⲥ,τευχοσ,,,loanword_only
ⲉⲅⲕⲣⲁⲧⲉⲩⲉ,εγκρατευε,,,loanword_only
ⲕⲁⲧⲁⲝⲓⲟⲩ,καταξιου,,,loanword_only
ⲫⲁⲣⲣⲓⲥⲁⲓⲟⲥ,φαρρισαιοσ,,,loanword_only
ⲕⲟⲥⲙⲓⲕⲟⲛ,κοσμικον,,,loanword_only
ⲅⲣⲁⲙⲙⲁⲧⲉⲩⲥ,γραμματευσ,,,loanword_only
ⲡⲩⲗⲱⲛ,πυλων,,,loanword_only
ⲇⲏⲙⲟⲥⲓⲁ,δημοσια,,,loanword_only
ⲑⲉⲟⲇⲱⲣⲟⲥ,θεοδωροσ,,,loanword_only
ⲡⲛⲉⲩⲙⲁⲧⲟⲫⲟⲣⲟⲥ,πνευματοφοροσ,,,loanword_only
ⲕⲁⲧⲁⲫⲣⲟⲛⲓⲛ,καταφρονιν,,,loanword_only
ⲧⲣⲟⲭⲟⲥ,τροχοσ,,,loanword_only
ⲁⲛⲁⲡⲁⲩⲉ,αναπαυε,,,loanword_only
ⲁⲛⲁⲗⲩⲙⲯⲓⲥ,αναλυμψισ,,,loanword_only
ⲡⲓⲣⲁ,πιρα,,,loanword_only
ⲙⲛⲧⲧⲉⲗⲓⲟⲥ,μνττελιοσ,,,loanword_only
ⲡⲁⲓⲇⲁⲓⲥ,παιδαισ,,,loanword_only
ⲉⲡⲉⲓ,επει,,,loanword_only
ⲉⲣⲡⲣⲟⲥⲉⲩⲭⲉⲥⲑⲉ,ερπροσευχεσθε,,,loanword_only
ⲁⲩⲑⲉⲛⲧⲏⲥ,αυθεντησ,,,loanword_only
ⲡⲁⲑⲟⲥ,παθοσ,,,loanword_only
ⲡⲣⲟⲫⲏⲧⲓⲁ,προφητια,,,loanword_only
ⲉⲡⲉⲓⲑⲩⲙⲓⲁ,επειθυμια,,,loanword_only
ⲁⲥⲭⲏⲙⲟⲛⲉⲓ,ασχημονει,,,loanword_only
ⲕⲗⲏⲣⲓⲕⲟⲥ,κληρικοσ,,,loanword_only
ⲡⲣⲓⲱⲟⲩ,πριωου,,,loanword_only
ⲥⲩⲛⲭⲱⲣⲉⲓ,συνχωρει,,,loanword_only
ⲭⲣⲏⲙⲁ,χρημα,,,loanword_only
ⲡⲁⲣⲑⲉⲛⲟⲥ,παρθενοσ,,,loanword_only
ⲁⲣⲭⲁⲓⲟⲥ,αρχαιοσ,,,loanword_only
ⲙⲉⲧⲁⲥⲑⲉⲛⲏⲥ,μετασθενησ,,,loanword_only
ⲕⲱⲙⲏ,κωμη,,,loanword_only
ⲁⲥⲱⲙⲁⲧⲟⲥ,ασωματοσ,,,loanword_only
ⲥⲕⲉⲡⲏ,σκεπη,,,loanword_only
ⲡⲟⲛⲏⲣⲉⲩⲉ,πονηρευε,,,loanword_only
ⲃⲟⲏⲑⲉⲓ,βοηθει,,,loanword_only
ⲁⲧⲉⲡⲓⲥⲕⲟⲡⲟⲥ,ατεπισκοποσ,,,loanword_only
ⲥⲧⲉⲫⲁⲛⲟⲩ,στεφανου,,,loanword_only
ⲟⲩⲇⲉ,ουδε,,,loanword_only
ⲉⲝⲟⲩⲥⲓⲁ,εξουσια,,,loanword_only
ⲁⲕⲧⲓⲛ,ακτιν,,,loanword_only
ⲕⲁⲧⲏⲅⲟⲣⲉⲓ,κατηγορει,,,loanword_only
ⲁⲩⲑⲁⲇⲏⲥ,αυθαδησ,,,loanword_only
ⲕⲁⲕⲉ,κακε,,,loanword_only
ⲡⲗⲁⲛⲁ,πλανα,,,loanword_only
ⲅⲩⲙⲛⲁⲍⲉ,γυμναζε,,,loanword_only
ⲁⲣⲓⲁⲥⲡⲁⲍⲉⲥⲑⲉ,αριασπαζεσθε,,,loanword_only
ⲕⲛⲱⲥⲓⲥ,κνωσισ,,,loanword_only
ⲡⲣⲟⲥⲉⲩⲭⲉ,προσευχε,,,loanword_only
ⲇⲓⲱⲕⲧⲏⲥ,διωκτησ,,,loanword_only
ⲅⲉⲛⲏⲥⲓⲥ,γενησισ,,,loanword_only
ⲁⲣⲧⲉⲙⲓⲥ,αρτεμισ,,,loanword_only
ⲁⲡⲟⲇⲏⲙⲓⲁ,αποδημια,,,loanword_only
ⲡⲁⲣⲁⲙⲩⲑⲓⲍⲉ,παραμυθιζε,,,loanword_only
ⲁⲣⲥⲉⲛⲓⲟⲥ,αρσενιοσ,,,loanword_only
ⲅⲁⲍⲁ,γαζα,,,loanword_only
ⲕⲓⲇⲁⲣⲓⲥ,κιδαρισ,,,loanword_only
ⲡⲁⲓⲇⲉⲥ,παιδεσ,,,loanword_only
ⲑⲏⲛ,θην,,,loanword_only
ⲉⲝⲟⲣⲓⲥⲙⲉⲛⲟⲥ,εξορισμενοσ,,,loanword_only
ⲙⲉⲧⲁⲅⲉⲛⲏⲥ,μεταγενησ,,,loanword_only
ⲁⲛⲟⲙⲓⲁ,ανομια,,,loanword_only
ⲕⲱⲛⲓⲁ,κωνια,,,loanword_only
ⲡⲗⲏⲅⲏ,πληγη,,,loanword_only
ⲉⲣⲉⲡⲓⲑⲩⲙⲉⲓⲛ,ερεπιθυμειν,,,loanword_only
ⲛⲏⲥⲧⲓⲁ,νηστια,,,loanword_only
ⲛⲏⲫⲉ,νηφε,,,loanword_only
ⲉⲅⲕⲣⲁⲧⲓⲁ,εγκρατια,,,loanword_only
ⲙⲉⲅⲓⲥⲧⲁⲛⲟⲥ,μεγιστανοσ,,,loanword_only
ⲥⲭⲓⲥⲙⲁ,σχισμα,,,loanword_only
ⲙⲛⲧⲡⲟⲛⲏⲣⲟⲥ,μντπονηροσ,,,loanword_only
ⲗⲟⲅⲓⲥⲙⲟⲥ,λογισμοσ,,,loanword_only
ⲡⲩⲣⲅⲟⲥ,πυργοσ,,,loanword_only
ⲁⲗⲗⲟⲧⲣⲓⲟⲥ,αλλοτριοσ,,,loanword_only
ⲉⲣⲃⲟⲏⲑⲓⲛ,ερβοηθιν,,,loanword_only
ⲁⲡⲟⲗⲟⲅⲓⲁ,απολογια,,,loanword_only
ⲕⲩⲛⲇⲩⲛⲟⲥ,κυνδυνοσ,,,loanword_only
ⲃⲁⲥⲁⲛⲓⲍⲉ,βασανιζε,,,loanword_only
ⲍⲏⲧⲏⲥⲓⲥ,ζητησισ,,,loanword_only
ⲁⲡⲟⲗⲗⲟⲛ,απολλον,,,loanword_only
ⲉⲓⲣⲏⲛⲏ,ειρηνη,,,loanword_only
ⲕⲁⲧⲁⲫⲣⲟⲛⲏⲧⲏⲥ,καταφρονητησ,,,loanword_only
ⲙⲉⲣⲓⲥ,μερισ,,,loanword_only
ⲡⲟⲣⲛⲉⲓⲁ,πορνεια,,,loanword_only
ⲁⲇⲁⲙⲁⲥ,αδαμασ,,,loanword_only
ⲉⲡⲓⲃⲟⲩⲗⲏ,επιβουλη,,,loanword_only
ⲥⲁⲧⲁⲛⲁⲥ,σατανασ,,,loanword_only
ⲑⲉⲱⲫⲓⲗⲟⲥ,θεωφιλοσ,,,loanword_only
ⲥⲩⲛⲏⲑⲉⲓⲁ,συνηθεια,,,loanword_only
ⲇⲓⲁⲕⲟⲛⲓⲧⲏⲥ,διακονιτησ,,,loanword_only
ⲙⲁⲕⲁⲣⲓⲍⲉ,μακαριζε,,,loanword_only
ⲕⲁⲧⲁⲕⲣⲓⲛⲉ,κατακρινε,,,loanword_only
ⲙⲟⲛⲁⲥⲧⲏⲣⲓⲟⲛ,μοναστηριον,,,loanword_only
ⲇⲱⲣⲟⲛ,δωρον,,,loanword_only
ⲧⲉⲭⲛⲓⲧⲏⲥ,τεχνιτησ,,,loanword_only
ⲡⲟⲗⲉⲙⲟⲥ,πολεμοσ,,,loanword_only
ⲭⲱⲣⲏⲅⲉⲓ,χωρηγει,,,loanword_only
ⲁⲣⲅⲟⲥ,αργοσ,,,loanword_only
ⲕⲗⲏⲙⲁ,κλημα,,,loanword_only
ⲁⲛⲁⲭⲱⲣⲏⲧⲏⲥ,αναχωρητησ,,,loanword_only
ⲕⲁⲕⲏⲕⲉⲫⲁⲗⲏ,κακηκεφαλη,,,loanword_only
ⲁⲫⲣⲟⲇⲓⲧⲏ,αφροδιτη,,,loanword_only
ⲧⲟⲩⲧⲟ,τουτο,,,loanword_only
ⲉⲓⲧⲁ,ειτα,,,loanword_only
ⲕⲟⲥⲙⲟⲥ,κοσμοσ,,,loanword_only
ⲙⲏⲛⲉⲩⲉ,μηνευε,,,loanword_only
ⲉⲩⲭⲏ,ευχη,,,loanword_only
ⲁⲝⲓⲟⲩ,αξιου,,,loanword_only
ⲕⲉⲣⲁ,κερα,,,loanword_only
ⲡⲣⲟⲕⲟⲡⲏ,προκοπη,,,loanword_only
ⲡⲁⲛⲟⲡⲟⲗⲓⲥ,πανοπολισ,,,loanword_only
ⲁⲛⲟⲭⲏ,ανοχη,,,loanword_only
ⲥⲩⲛⲍⲏⲧⲏⲧⲏⲥ,συνζητητησ,,,loanword_only
ⲙⲛⲧⲡⲣⲟⲫⲏⲧⲏⲥ,μντπροφητησ,,,loanword_only
ⲫⲟⲓⲛⲓⲝ,φοινιξ,,,loanword_only
ⲧⲁⲫⲟⲥ,ταφοσ,,,loanword_only
ⲟⲩⲁ,ουα,,,loanword_only
ⲑⲉⲟⲡⲓⲥⲧⲏ,θεοπιστη,,,loanword_only
ⲉⲗⲉⲅⲭⲉ,ελεγχε,,,loanword_only
ⲁⲣⲭⲏⲥⲩⲛⲁⲅⲱⲅⲟⲥ,αρχησυναγωγοσ,,,loanword_only
ⲧⲁⲩⲧⲁ,ταυτα,,,loanword_only
ⲕⲁⲗⲉⲓ,καλει,,,loanword_only
ⲭⲗⲁⲙⲩⲥ,χλαμυσ,,,loanword_only
ⲭⲣⲏⲥⲧⲓⲁⲛⲟⲥ,χρηστιανοσ,,,loanword_only
ⲁⲧⲯⲩⲭⲏ,ατψυχη,,,loanword_only
ⲕⲁⲧⲁⲫⲣⲟⲛⲉⲓ,καταφρονει,,,loanword_only
ⲉⲩⲅⲉⲣⲓⲁ,ευγερια,,,loanword_only
ⲁⲡⲟⲇⲓⲝⲓⲥ,αποδιξισ,,,loanword_only
ⲟⲛ,ον,,,loanword_only
ⲁⲣⲭⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ,αρχιεπισκοποσ,,,loanword_only
ⲧⲁⲙⲉⲓⲟⲛ,ταμειον,,,loanword_only
ⲡⲁⲧⲣⲓⲕⲓⲟⲥ,πατρικιοσ,,,loanword_only
ⲧⲁⲣⲁⲥⲥⲉ,ταρασσε,,,loanword_only
ⲁⲣⲭⲏⲇⲉⲕⲧⲱⲛ,αρχηδεκτων,,,loanword_only
ⲁⲗⲉⲕⲧⲱⲣ,αλεκτωρ,,,loanword_only
ⲝⲉⲥⲧⲏⲥ,ξεστησ,,,loanword_only
ⲱⲫⲉⲗⲉⲓ,ωφελει,,,loanword_only
ⲉⲩⲭⲁⲣⲓⲥⲧⲓⲁ,ευχαριστια,,,loanword_only
ⲕⲣⲓⲥⲡⲟⲥ,κρισποσ,,,loanword_only
ⲁⲧⲕⲁⲣⲡⲟⲥ,ατκαρποσ,,,loanword_only
ⲙⲉⲧⲉⲩⲥⲉⲃⲏⲥ,μετευσεβησ,,,loanword_only
ⲉⲓⲕⲏ,εικη,,,loanword_only
ⲁⲗⲫⲁⲓⲟⲥ,αλφαιοσ,,,loanword_only
ⲁⲛⲧⲓⲗⲟⲅⲓⲁ,αντιλογια,,,loanword_only
ⲥⲩⲛⲧⲉⲗⲓⲁ,συντελια,,,loanword_only
ⲉⲣⲉⲧⲓⲛ,ερετιν,,,loanword_only
ⲇⲏⲙⲓⲟⲩⲣⲅⲟⲥ,δημιουργοσ,,,loanword_only
ⲇⲓⲙⲓⲟⲩⲣⲅⲟⲥ,διμιουργοσ,,,loanword_only
ⲉⲣⲓⲛⲁⲓⲟⲥ,εριναιοσ,,,loanword_only
ⲙⲛⲧⲙⲁⲕⲁⲣⲓⲟⲥ,μντμακαριοσ,,,loanword_only
ⲣⲟⲣⲫⲁⲛⲟⲥ,ρορφανοσ,,,loanword_only
ⲧⲁⲭⲏ,ταχη,,,loanword_only
ⲉⲡⲉⲓⲧⲁⲥⲥⲉ,επειτασσε,,,loanword_only
ⲁⲩⲗⲏ,αυλη,,,loanword_only
ⲡⲁⲣⲁⲕⲟⲓⲧⲱⲛ,παρακοιτων,,,loanword_only
ⲕⲟⲛⲓⲁ,κονια,,,loanword_only
ⲇⲩⲛⲁⲙⲓⲥ,δυναμισ,,,loanword_only
ⲙⲉⲗⲱⲧⲏ,μελωτη,,,loanword_only
ⲇⲓⲁⲑⲏⲕⲏ,διαθηκη,,,loanword_only
ⲑⲉⲱⲣⲓⲁ,θεωρια,,,loanword_only
ⲁⲡⲉⲗⲉⲩⲑⲉⲣⲟⲥ,απελευθεροσ,,,loanword_only
ⲉⲡⲓⲛⲓⲕⲓⲟⲛ,επινικιον,,,loanword_only
ⲡⲁⲗⲗⲁⲕⲏ,παλλακη,,,loanword_only
ⲇⲓⲁⲕⲟⲛⲓⲁ,διακονια,,,loanword_only
ⲫⲱⲛⲏ,φωνη,,,loanword_only
ⲙⲁⲅⲉⲓⲣⲟⲥ,μαγειροσ,,,loanword_only
ⲁⲣⲭⲓⲥⲩⲛⲁⲅⲱⲅⲟⲥ,αρχισυναγωγοσ,,,loanword_only
ⲇⲓⲱⲕⲉⲓ,διωκει,,,loanword_only
ⲇⲓⲟⲥⲕⲟⲣⲟⲥ,διοσκοροσ,,,loanword_only
ⲁⲑⲗⲏⲧⲏⲥ,αθλητησ,,,loanword_only
ⲁⲗⲫⲁ,αλφα,,,loanword_only
ⲙⲉⲣⲓⲍⲉ,μεριζε,,,loanword_only
ⲧⲣⲓⲡⲛⲉⲩⲙⲁⲧⲟⲥ,τριπνευματοσ,,,loanword_only
ⲡⲗⲁⲕⲏⲧⲁⲥ,πλακητασ,,,loanword_only
ⲙⲉⲧⲉⲭⲉ,μετεχε,,,loanword_only
ⲡⲁⲣⲉⲙⲃⲟⲗⲏ,παρεμβολη,,,loanword_only
ⲥⲫⲁⲓⲣⲁ,σφαιρα,,,loanword_only
ⲁⲡⲩⲗⲏ,απυλη,,,loanword_only
ⲕⲁⲧⲏⲅⲟⲣⲓⲁ,κατηγορια,,,loanword_only
ⲉⲣⲡⲟⲣⲛⲉⲩⲓⲛ,ερπορνευιν,,,loanword_only
ⲁⲓⲧⲟⲥ,αιτοσ,,,loanword_only
ⲅⲓⲅⲁⲥ,γιγασ,,,loanword_only
ⲡⲁⲣⲁ,παρα,,,loanword_only
ⲥⲩⲙⲙⲉⲧⲟⲭⲟⲥ,συμμετοχοσ,,,loanword_only
ⲉⲩⲕⲁⲓⲣⲓⲁ,ευκαιρια,,,loanword_only
ⲃⲟⲏⲑⲉⲓⲁ,βοηθεια,,,loanword_only
ⲧⲣⲓⲁⲥ,τριασ,,,loanword_only
ⲫⲓⲗⲓⲡⲡⲟⲥ,φιλιπποσ,,,loanword_only
ⲡⲁⲩⲗⲟⲥ,παυλοσ,,,loanword_only
ⲧⲁⲭⲩ,ταχυ,,,loanword_only
ⲙⲛⲧⲁⲕⲁⲑⲁⲣⲧⲟⲥ,μντακαθαρτοσ,,,loanword_only
ⲁⲡⲓⲥⲧⲟⲥ,απιστοσ,,,loanword_only
ⲉⲩⲡⲟⲣⲉⲓ,ευπορει,,,loanword_only
ⲗⲩⲡⲉⲓ,λυπει,,,loanword_only
ⲙⲁⲗⲁⲕⲟⲥ,μαλακοσ,,,loanword_only
ⲁⲅⲱⲛ,αγων,,,loanword_only
ⲕⲉⲛⲧⲩⲣⲓⲱⲛ,κεντυριων,,,loanword_only
ⲍⲉⲩⲥ,ζευσ,,,loanword_only
ⲡⲗⲏⲅⲉ,πληγε,,,loanword_only
ⲅⲉⲛⲟⲓⲧⲟ,γενοιτο,,,loanword_only
ⲕⲣⲁⲥⲓⲥ,κρασισ,,,loanword_only
ⲡⲣⲟⲥ,προσ,,,loanword_only
ⲧⲣⲓⲇⲩⲛⲁⲙⲟⲥ,τριδυναμοσ,,,loanword_only
