coptic,greek,pmi,count,source
ⲉⲩⲁⲅⲣⲓ,ευαγρι,,,loanword_only
ⲅⲁⲗⲓⲗⲁⲓⲟⲥ,γαλιλαιοσ,,,loanword_only
ⲙⲉⲧⲉⲡⲓ,μετεπι,,,loanword_only
ⲙⲉⲗⲉⲓ,μελει,,,loanword_only
ⲇⲉⲥⲡⲟⲧⲏⲥ,δεσποτησ,,,loanword_only
ⲅⲩⲙⲛⲁⲥⲓⲁ,γυμνασια,,,loanword_only
ⲁⲡⲟⲛⲟⲓⲁ,απονοια,,,loanword_only
ⲙⲛⲧⲉ,μντε,,,loanword_only
ⲡⲟⲓⲙⲏⲛ,ποιμην,,,loanword_only
ⲑⲩⲣⲓⲟⲛ,θυριον,,,loanword_only
ⲕⲁⲡⲁⲣⲛⲁⲟⲩⲙ,καπαρναουμ,,,loanword_only
ⲡⲗⲉⲁ,πλεα,,,loanword_only
ⲧⲓⲙⲏ,τιμη,,,loanword_only
ⲁⲣⲭⲏⲉⲡⲓⲥⲕⲟⲡⲟⲩ,αρχηεπισκοπου,,,loanword_only
ⲫⲟⲛⲉⲩⲥ,φονευσ,,,loanword_only
ⲕⲏⲣⲩⲅⲙⲁ,κηρυγμα,,,loanword_only
ⲗⲉⲛⲧⲓⲟⲛ,λεντιον,,,loanword_only
ⲡⲣⲟⲇⲣⲟⲙⲟⲥ,προδρομοσ,,,loanword_only
ⲙⲟⲛⲟⲅⲉⲛⲏⲥ,μονογενησ,,,loanword_only
ⲉⲅⲕⲣⲁⲧⲉⲓⲁ,εγκρατεια,,,loanword_only
ⲙⲉⲧⲡⲁⲣⲁⲛⲟⲙⲟⲥ,μετπαρανομοσ,,,loanword_only
ⲧⲟⲡⲟⲥ,τοποσ,,,loanword_only
ⲡⲁⲣⲣⲏⲥⲓⲁ,παρρησια,,,loanword_only
ⲡⲁⲛⲧⲟⲕⲣⲁⲧⲱⲣ,παντοκρατωρ,,,loanword_only
ⲁⲗⲉⲝⲁⲛⲇⲣⲟⲥ,αλεξανδροσ,,,loanword_only
ⲥⲕⲉⲡⲓ,σκεπι,,,loanword_only
ⲡⲁⲣⲁⲕⲁⲗⲉ,παρακαλε,,,loanword_only
ⲧⲁⲣⲥⲟⲥ,ταρσοσ,,,loanword_only
ⲡⲣⲉⲥⲃⲉⲩⲧⲏⲥ,πρεσβευτησ,,,loanword_only
ⲙⲏⲧⲣⲟⲡⲟⲗⲓⲥ,μητροπολισ,,,loanword_only
ⲁⲙⲉⲗⲉⲓ,αμελει,,,loanword_only
ⲫⲓⲗⲟⲡⲁⲧⲱⲣ,φιλοπατωρ,,,loanword_only
ⲑⲉⲟⲫⲓⲗⲟⲥ,θεοφιλοσ,,,loanword_only
ⲧⲉⲗⲉⲓⲟⲥ,τελειοσ,,,loanword_only
ⲇⲱⲣⲓⲍⲉ,δωριζε,,,loanword_only
ⲕⲟⲗⲁⲥⲧⲏⲣⲓⲟⲛ,κολαστηριον,,,loanword_only
ⲙⲏⲧⲓ,μητι,,,loanword_only
ⲁⲕⲣⲁⲧⲟⲛ,ακρατον,,,loanword_only
ⲟⲣⲑⲟⲇⲟⲝⲟⲥ,ορθοδοξοσ,,,loanword_only
ⲕⲩⲍⲓⲕⲟⲥ,κυζικοσ,,,loanword_only
ⲟⲩⲭⲓ,ουχι,,,loanword_only
ⲙⲟⲭⲗⲟⲥ,μοχλοσ,,,loanword_only
ⲁⲡⲟⲑⲩⲕⲏ,αποθυκη,,,loanword_only
ⲡⲓⲝⲓⲟⲛ,πιξιον,,,loanword_only
ⲡⲁⲣⲁⲇⲟⲥⲓⲥ,παραδοσισ,,,loanword_only
ⲛⲟⲙⲟⲑⲉⲧⲏⲥ,νομοθετησ,,,loanword_only
ⲭⲣⲟⲛⲟⲥ,χρονοσ,,,loanword_only
ⲉⲩⲭⲁⲣⲓⲥⲧⲉⲓ,ευχαριστει,,,loanword_only
ⲑⲉⲣⲁⲡⲉⲩⲉ,θεραπευε,,,loanword_only
ⲙⲟⲛⲥⲧⲏⲣⲓⲟⲛ,μονστηριον,,,loanword_only
ⲫⲁⲛⲧⲁⲥⲙⲁ,φαντασμα,,,loanword_only
ⲑⲏⲣⲓⲟⲛ,θηριον,,,loanword_only
ⲗⲁⲙⲡⲁⲥ,λαμπασ,,,loanword_only
ⲕⲟⲗⲁⲍⲉ,κολαζε,,,loanword_only
ⲥⲡⲏⲗⲁⲓⲟⲛ,σπηλαιον,,,loanword_only
ⲥⲩⲙⲃⲟⲗⲟⲛ,συμβολον,,,loanword_only
ⲡⲁⲣⲁⲡⲟⲗⲏ,παραπολη,,,loanword_only
ⲣⲥⲡⲟⲩⲇⲏ,ρσπουδη,,,loanword_only
ⲉⲡⲓⲃⲟⲩⲗⲉⲩⲉ,επιβουλευε,,,loanword_only
ⲉⲣⲁⲡⲟⲗⲁⲩⲓⲛ,εραπολαυιν,,,loanword_only
ⲙⲁⲅⲟⲥ,μαγοσ,,,loanword_only
ⲇⲣⲟⲙⲟⲥ,δρομοσ,,,loanword_only
ⲣⲁⲡⲟⲥⲧⲟⲗⲟⲥ,ραποστολοσ,,,loanword_only
ⲡⲣⲟⲫⲁⲥⲓⲥ,προφασισ,,,loanword_only
ⲉⲛⲓⲱⲭⲟⲥ,ενιωχοσ,,,loanword_only
ⲙⲁⲑⲏⲙⲁ,μαθημα,,,loanword_only
ⲡⲉⲣⲓⲍⲱⲙⲁ,περιζωμα,,,loanword_only
ⲙⲛⲧⲉⲩⲥⲉⲃⲏⲥ,μντευσεβησ,,,loanword_only
ⲕⲣⲁⲧⲟⲥ,κρατοσ,,,loanword_only
ⲧⲁⲗⲁⲓⲡⲱⲣⲓⲁ,ταλαιπωρια,,,loanword_only
