hebrew,greek,score,hebrew_gloss,greek_gloss
סיר,χύτρα,1.000,pot,- pot
שלו,ὄρτυξ,1.000,quail,quail
גלגלת,κρανίον,1.000,skull,skull
מדד,μέτρον,1.000,measure,metre
טעם,γεύω,1.000,taste,way taste
צנצנת,ἀγγεῖον,1.000,receptacle,receptacle
עדות,ὑπόμνημα,1.000,reminder,commentary
תלאה,κάματος,1.000,weariness,weariness
נשר,ἀετός,1.000,eagle,gable
נאף,μοιχεύω,1.000,commit adultery,committed adultery
מעלה,ἀνάβασις,1.000,ascent,ascent
יתום,ὀρφανός,1.000,orphan,orphan
חנון,ἴλαος,1.000,gracious,propitious
שמיני,ὄγδοος,1.000,eighth,eighteenth
בכורים,ἀκροθίνιον,1.000,first fruits,first fruits
תולעת,σκώληξ,1.000,worm,worm
סם,μύρον,1.000,perfume,myrrh
תבנית,παράδειγμα,1.000,model,model
זר,ὅμορος,1.000,border,border
קערה,πίναξ,1.000,platter,tablet
עשתי,ἕνδεκα,1.000,eleven,eleven
אדן,βάθρον,1.000,pedestal,pedestal
בריח,κλεῖθρον,1.000,bar,bolt
מזרח,ἀνατολή,1.000,sunrise,sunrise
יתד,πάσσαλος,1.000,peg,peg
מצח,μέτωπον,1.000,forehead,front
כהנה,ἀρχιερωσύνη,1.000,priesthood,priesthood
רקח,ἄρωμα,1.000,spice,sweet spices
רגע,αὐτίκα,1.000,moment,moment
נדיב,ἑκών,1.000,willing,consent
כומז,θώραξ,1.000,breastplate,thorax
כסל,ὀσφύς,1.000,loin,loin
חל,ἀνόσιος,1.000,profane,profane
ארנבת,λαγῶς,1.000,hare,hare
חזיר,ὗς,1.000,swine,hog
דוכיפת,ἔποψ,1.000,hoopoe,epops
גבח,φαλακρός,1.000,bald,bald
צמר,ἔριον,1.000,wool,wool
ארז,κέδρος,1.000,cedar,cedar - wood
רקק,ὀβελός,1.000,spit,spit
ידעני,μάντις,1.000,soothsayer,prophet
משחת,δωροδοκία,1.000,corruption,venality
ערבה,αἴγειρος,1.000,poplar,poplar
ספיח,αὐξάνω,1.000,growth,enlarge
תשיעי,ἔνατος,1.000,ninth,ninth
ממכרת,πρᾶσις,1.000,sale,sale
משכית,σχῆμα,1.000,figure,attitude
בציר,τρυγάω,1.000,vintage,vintage
געל,μισέω,1.000,abhor,dislike
יסר,νουθετέω,1.000,admonish,admonish
משרה,ὑγρός,1.000,dominion,supple
רוע,βοάω,1.000,shout,cry out
אספסף,βότρυς,1.000,cluster,cluster
בצל,κρόμμυον,1.000,onion,crommyus
שומים,σκόροδον,1.000,garlic,garlic
כשי,αἰθίοψ,1.000,Ethiopian,aethiopians
נאץ,καταφρονέω,1.000,contemn,scorn
גדף,βλασφημέω,1.000,blaspheme,blaspheme
שפי,ἴχνος,1.000,track,footstep
רמח,λόγχη,1.000,lance,spear
בדיל,κασσίτερος,1.000,tin,tin
תרבות,αὐξάνω,1.000,increase,enlarge
חוש,σπεύδω,1.000,make haste,haste
לבנון,λίβανος,1.000,Lebanon,mount libanus
זולה,χωρίς,1.000,except,except
מדרך,ἴχνος,1.000,footstep,footstep
נדח,πάλλω,1.000,wield,wield
עשתרת,ὄις,1.000,ewe,sheep -
צבי,δορκάς,1.000,gazelle,gazelle
עבט,δανείζω,1.000,borrow,lent money
מעקה,ἔπαλξις,1.000,parapet,parapet
ממזר,νόθος,1.000,bastard,base - born
מחיר,τιμή,1.000,price,honour
חבט,ἀποκρούω,1.000,beat off,beaten off
שנינה,ὀνειδίζω,1.000,taunt,taunt
שרש,ῥίζα,1.000,root,root
בעט,λακτίζω,1.000,kick,kick
איד,συμφορά,1.000,calamity,disaster
נסיך,σπονδή,1.000,libation,armistice
חסיד,εὔνους,1.000,loyal,goodwill
ידיד,φίλτατος,1.000,beloved,beloved
גאוה,θόρυβος,1.000,uproar,clamor
מורד,κατάβασις,1.000,descent,descent
כידון,βέλος,1.000,dart,bolt
גלילה,τόπος,1.000,region,district
נכסים,πλοῦτος,1.000,riches,plutus
מפתח,κλείς,1.000,key,bench
תנה,διέρχομαι,1.000,recount,discuss
מעוז,φρούριον,1.000,fort,fort
גזה,κῶας,1.000,fleece,fleece
טבור,ὀμφαλός,1.000,navel,navel
שועל,ἀλώπηξ,1.000,fox,fox
צום,νηστεύω,1.000,fast,fast
פך,λήκυθος,1.000,flask,phial
חוח,μυχός,1.000,recess,nook
קלשון,τρίαινα,1.000,trident,trident
אלמני,ξένος,1.000,stranger,guest
נעים,ἡδύς,1.000,pleasant,should like
בתרון,χαράδρα,1.000,gully,gorge
מתג,χαλινός,1.000,bridle,bridle
סחב,ἕλκω,1.000,drag,draw
חנק,ἀποπνίγω,1.000,strangle,strangle
אמון,πιστός,1.000,faithful,faith
ברר,καθαίρω,1.000,purge,purify himself
קרסל,σφυρόν,1.000,ankle,ankle
ארוה,φάτνη,1.000,stall,stall
פנימי,ἐντός,1.000,inner,inner
שושן,κρίνον,1.000,lily,lily
עבי,πάχος,1.000,thickness,thickness
קוף,πίθηκος,1.000,ape,monkey
בקבק,ἀσκός,1.000,bottle,bottle
תעלה,ῥεῖθρον,1.000,channel,channel
רצף,ἄνθραξ,1.000,coal,coal
דממה,γαλήνη,1.000,calm,calm
שפק,ἀρκέω,1.000,suffice,sufficient
חריט,βαλλάντιον,1.000,purse,purse
שפעה,ὄγκος,1.000,mass,mass
