hebrew,greek,score,hebrew_gloss,greek_gloss
תרגם,ἐξηγέομαι,0.500,interpret,interpret
פתר,ἐξηγέομαι,0.500,interpret,interpret
שרקה,ἄμπελος,0.500,whistling,vine
גפן,ἄμπελος,0.500,vine,vine
תלה,κρεμάννυμι,0.500,hang,hang
תלא,κρεμάννυμι,0.500,hang,hang
אחו,κάλαμος,0.500,reed,reed
אחו,δόναξ,0.500,reed,reed
קדים,ἠώς,0.500,east,daybreak
קדים,ἀνατολή,0.500,east,sunrise
פקיד,ἡγεμών,0.500,officer,ruler
פקיד,ὑπηρέτης,0.500,officer,officer
תשומת,παρακαταθήκη,0.500,deposit,deposit
פקדון,παρακαταθήκη,0.500,deposit,deposit
שליט,τύραννος,0.500,tyrant,despot
שליט,τυραννεύω,0.500,tyrant,tyrant
ליץ,κομπάζω,0.500,boast,boast
ליץ,κόμπος,0.500,boast,boast
צידה,ἐπιτήδειος,0.500,provision,fit
צידה,σῖτος,0.500,provision,meat
בהל,ταράσσω,0.500,disturb,into confusion
בהל,κινέω,0.500,disturb,disturb
רגז,ἐλελίζω,0.500,quake,quake
רעש,ἐλελίζω,0.500,quake,quake
סוס,ἵππος,0.500,horse,chariot
סוס,ἱππεύς,0.500,horse,horse
ישועה,σωτηρία,0.500,salvation,save
תשועה,σωτηρία,0.500,salvation,save
גוד,ἐπιτίθημι,0.500,attack,attack
גוד,ἐπιχειρέω,0.500,attack,attack
פרש,ἱππότης,0.500,spread out,horseman
פרש,ἱππεύς,0.500,spread out,horse
זפת,πίσσα,0.500,pitch,pitch
זפת,στρατοπεδεύω,0.500,pitch,pitch
תלג,χιών,0.500,snow,deep snow
שלג,χιών,0.500,snow,deep snow
מתכנת,ἀνάλογος,0.500,proportion,disproportionate
מתכנת,ἀναλογία,0.500,proportion,proportionate
חפן,κοῖλος,0.500,hollow,le
חפן,γλαφυρός,0.500,hollow,hollow cave
יסד,οἰκίζω,0.500,found,found
יסד,κτίζω,0.500,found,found
פשתה,λίνον,0.500,flax,thread
פשת,λίνον,0.500,flax,thread
אפיל,ὀψέ,0.500,late,too late
אפיל,ὕστερος,0.500,late,late
חג,ἑορτή,0.500,festival,feast
חג,πανήγυρις,0.500,festival,festival
תיכון,μέσος,0.500,middle,centre
חצות,μέσος,0.500,middle,centre
חגר,ζώννυμι,0.500,gird,gird
שנס,ζώννυμι,0.500,gird,gird
אזרח,ἐπιχώριος,0.500,native,local
אזרח,πατρίς,0.500,native,country
שגר,φορεῖον,0.500,litter,sedan
אפריון,φορεῖον,0.500,litter,sedan
נביאה,προφῆτις,0.500,prophetess,prophetess
נביאה,πρόμαντις,0.500,prophetess,prophetess
צרף,τήκω,0.500,melt,melt
מסס,τήκω,0.500,melt,melt
צור,πέτρα,0.500,rock,stone
סלע,πέτρα,0.500,rock,stone
נס,σημαίνω,0.500,signal,seal
נס,σημεῖον,0.500,signal,evidence
יעץ,συμβουλεύω,0.500,advise,give advice
יעץ,παραινέω,0.500,advise,advice
ערמה,φρόνησις,0.500,prudence,intelligence
ערמה,σωφρόσυνος,0.500,prudence,prudence
שלחן,τράπεζα,0.500,table,bank
פתבג,τράπεζα,0.500,table,bank
דיק,ἕρκος,0.500,bulwark,fence
מסגרת,ἕρκος,0.500,bulwark,fence
זוית,γωνία,0.500,corner,angle
פאה,γωνία,0.500,corner,angle
מעיל,ἱμάτιον,0.500,coat,coat
מעיל,χιτών,0.500,coat,coat
שרשרה,δεσμός,0.500,chain,chain
שרשרה,ἅλυσις,0.500,chain,chain
מצלה,κώδων,0.500,bell,bell
פעמון,κώδων,0.500,bell,bell
קרבן,ἀνάθημα,0.500,offering,dedication
תנופה,ἀνάθημα,0.500,offering,dedication
עגל,βοῦς,0.500,bull,bull
עגל,ταῦρος,0.500,bull,tauri
עדי,κόσμος,0.500,ornament,universe
חליה,κόσμος,0.500,ornament,universe
חח,ἄκανθα,0.500,thorn,backbone
שך,ἄκανθα,0.500,thorn,backbone
מחשבת,βουλεύω,0.500,plan,plot
מחשבת,βούλευμα,0.500,plan,plan
פנימה,ἐντός,0.500,within,inner
פנימה,ἔνδον,0.500,within,inside
רחמה,γύψ,0.500,vulture,vulture
עזניה,γύψ,0.500,vulture,vulture
טהרה,καθαρμός,0.500,purification,purification
טהרה,κάθαρσις,0.500,purification,purgation
שפל,ταπεινός,0.500,low,low
געה,ταπεινός,0.500,low,low
מכוה,οὐλή,0.500,scar,scar
צרבת,οὐλή,0.500,scar,scar
גב,ἀμφιέλισσα,0.500,curve,curve
גב,καμπύλος,0.500,curve,curve
לג,ξύλον,0.500,log,stick
אוד,ξύλον,0.500,log,stick
תבלל,χωρίον,0.500,spot,land
תבלל,παραχρῆμα,0.500,spot,spot
תרבית,τόκος,0.500,interest,usury
תרבית,συμφέρω,0.500,interest,advantageous
יבול,παρέχω,0.500,produce,supply
תנובה,παρέχω,0.500,produce,supply
מאס,ἀπωθέω,0.500,reject,reject
מאס,ἀποδοκιμάζω,0.500,reject,disqualify
כשל,σφάλλω,0.500,stumble,stumble
כשל,σκανδαλίζω,0.500,stumble,stumble
מור,ἀντίδοσις,0.500,exchange,exchange
תמורה,ἀντίδοσις,0.500,exchange,exchange
קרקע,οὖδας,0.500,floor,floor
קרקע,ἔδαφος,0.500,floor,floor
חנכה,ἀνάθεσις,0.500,dedication,dedication
חנכה,ἀνάθημα,0.500,dedication,dedication
אנן,μέμφομαι,0.500,complain,fault
אנן,ἐγκαλέω,0.500,complain,charge against
אוה,βούλομαι,0.500,wish,like
אוה,ἐθέλω,0.500,wish,ready
מסלול,λεωφόρος,0.500,highway,high road
מסלה,λεωφόρος,0.500,highway,high road
שבית,αἰχμαλωσία,0.500,captivity,captivity
שבות,αἰχμαλωσία,0.500,captivity,captivity
קסם,μαντικός,0.500,divination,seer art
מקסם,μαντικός,0.500,divination,seer art
מלוכה,βασιλεία,0.500,kingship,royalty
מלכות,βασιλεία,0.500,kingship,royalty
מכס,εἰσφορά,0.500,tax,- tax
מכס,φόρος,0.500,tax,tax
עגיל,κόσμος,0.500,adornment,universe
הדרה,κόσμος,0.500,adornment,universe
דחה,ὠθέω,0.500,push,push
הדף,ὠθέω,0.500,push,push
טרח,ἄχθος,0.500,burden,burden
טרח,ὑποζύγιον,0.500,burden,pack - animals
למד,πυνθάνομαι,0.500,learn,inform
למד,μανθάνω,0.500,learn,learnt
מדוה,νόσος,0.500,sickness,plague
חלי,νόσος,0.500,sickness,plague
הום,ὀρίνω,0.500,stir,stir
הום,κινέω,0.500,stir,disturb
תל,χῶμα,0.500,mound,mole
מלוא,χῶμα,0.500,mound,mole
חרמש,δρέπανον,0.500,sickle,hook
מגל,δρέπανον,0.500,sickle,hook
ריבה,δίκη,0.500,case,case
ריבה,πρᾶγμα,0.500,case,case
לחי,γνάθος,0.500,jaw,onugnathus
לחי,γένυς,0.500,jaw,jaw
חפז,σπεύδω,0.500,hurry,haste
דחף,σπεύδω,0.500,hurry,haste
מצור,πολιορκία,0.500,siege,besiege
מצור,πολιορκέω,0.500,siege,blockade
יעף,κάμνω,0.500,weary,weary
יגע,κάμνω,0.500,weary,weary
מדור,οἴκησις,0.500,dwelling,dwelling
מעון,οἴκησις,0.500,dwelling,dwelling
אוצר,ἐπιτήδειος,0.500,supply,fit
אוצר,παρέχω,0.500,supply,supply
סוך,ἀλείφω,0.500,anoint,anointed himself oil
סוך,χρίω,0.500,anoint,anoint
ישימון,ἐρῆμος,0.500,wilderness,empty
ישימון,ἐρημία,0.500,wilderness,isolation
קטב,κέντρον,0.500,sting,sting
קטב,δάκνω,0.500,sting,sting
אכזרי,σχέτλιος,0.500,cruel,rash man
אכזר,σχέτλιος,0.500,cruel,rash man
אזל,ἀπέρχομαι,0.500,go away,depart
אזל,ἄπειμι,0.500,go away,went away
יפע,φαεινός,0.500,shine,shine
יפע,λάμπω,0.500,shine,shine
דוץ,πηδάω,0.500,leap,leap
זנק,πηδάω,0.500,leap,leap
מארב,λόχος,0.500,ambush,battalion
מארב,ἐνέδρα,0.500,ambush,ambuscade
קנוא,φθόνος,0.500,jealous,jealous
קנוא,φθονέω,0.500,jealous,jealous
רקה,ναός,0.500,temple,shrine
רקה,ἱερός,0.500,temple,holy
מתוק,ἡδύς,0.500,sweet,should like
מתוק,γλυκύς,0.500,sweet,sweet
אזר,ἐνδύω,0.500,put on,put on
אזר,περιτίθημι,0.500,put on,put on
קלחת,λέβης,0.500,cauldron,kettle
קלחת,τρίπους,0.500,cauldron,cauldron
אדב,παρακαλέω,0.500,invite,urge
אדב,καλέω,0.500,invite,name
יקר,ὀλιγάκις,0.500,rare,seldom
יקר,σπάνιος,0.500,rare,scarce
מעצור,ἐμπόδιος,0.500,hindrance,hindrance
מעצור,ἐμποδίζω,0.500,hindrance,hindrance
מטרה,σκοπός,0.500,target,scout
מפגע,σκοπός,0.500,target,scout
משמעת,ὑπόθεσις,0.500,subject,subject
משמעת,ὑπήκους,0.500,subject,subject
תפלה,εὔχομαι,0.500,prayer,prayer
תפלה,εὐχή,0.500,prayer,prayer
אוריהו,οὐρία,0.500,Uriah,uriah
אוריה,οὐρία,0.500,Uriah,uriah
יוצר,κεραμεύς,0.500,potter,potter
פחר,κεραμεύς,0.500,potter,potter
תרשתא,ἡγεμών,0.500,governor,ruler
פחה,ἡγεμών,0.500,governor,ruler
שנהבים,ἐλεφάντινος,0.500,ivory,ivory
שנהבים,ἐλέφας,0.500,ivory,elephant
גבירה,δέσποινα,0.500,mistress,queen
גבירה,ἑταίρα,0.500,mistress,mistress
בדא,μήδομαι,0.500,devise,devise
בדא,μηχανάομαι,0.500,devise,devise
תא,θάλαμος,0.500,chamber,- chamber
תא,οἴκημα,0.500,chamber,room
מדינה,τόπος,0.500,district,district
מדינה,χωρίον,0.500,district,land
חלט,βουλεύω,0.500,decide,plot
חלט,κρίνω,0.500,decide,decision
זבוב,πέτομαι,0.500,fly,sped
זבוב,φεύγω,0.500,fly,fly
סערה,χειμών,0.500,storm,tempest
סערה,κράτος,0.500,storm,storm
צפיע,κόπρος,0.500,dung,manure
דמן,κόπρος,0.500,dung,manure
מכורה,γένεσις,0.500,origin,birth
מוצאה,γένεσις,0.500,origin,birth
תרתן,στρατηγός,0.500,commander,commander
תרתן,ἡγεμών,0.500,commander,ruler
גאות,ἀνίστημι,0.500,rise,rose up
גאות,ἄνειμι,0.500,rise,rise
זד,ὑβρίζω,0.500,insolent,insolence
זד,ὕβρις,0.500,insolent,insolent
יהיר,ὑπερφίαλος,0.500,haughty,haughty
גא,ὑπερφίαλος,0.500,haughty,haughty
נשת,αὖος,0.500,dry,dry
נשת,ξηρός,0.500,dry,dry
שחה,νέω,0.500,bow down,swim
שחה,νήχω,0.500,bow down,swim
מבוע,κρήνη,0.500,spring,spring
מבוע,ἔαρ,0.500,spring,spring
נגינה,μοῦσα,0.500,music,music
נגינה,μουσικός,0.500,music,cultured
חוג,κύκλος,0.500,circle,surround
מסבה,κύκλος,0.500,circle,surround
מצת,νεῖκος,0.500,strife,quarrel
מצת,ἔρις,0.500,strife,rivalry
מני,πότμος,0.500,destiny,destiny
מני,μοῖρα,0.500,destiny,part
צמאה,δίψος,0.500,thirst,thirst
צמאה,διψάω,0.500,thirst,thirst
בגוד,δόλιος,0.500,treacherous,treacherous
בגוד,ἐπίβουλος,0.500,treacherous,treacherous
מגלה,κατάλογος,0.500,roll,list
פלש,κατάλογος,0.500,roll,list
שמין,θεός,0.500,heaven,heaven
שמין,οὐρανός,0.500,heaven,sky
תעתעים,γέλως,0.500,mockery,laughter
התלים,γέλως,0.500,mockery,laughter
מזמה,ἕνεκα,0.500,purpose,because
מזמה,προαίρεσις,0.500,purpose,purpose
דלית,φυλλάς,0.500,foliage,foliage
עפי,φυλλάς,0.500,foliage,foliage
גוה,φρονέω,0.500,pride,thought
גוה,φρόνημα,0.500,pride,spirit
נאפופים,μοιχεία,0.500,adultery,adultery
נאפים,μοιχεία,0.500,adultery,adultery
משתא,δεῖπνον,0.500,banquet,dine
מרזח,δεῖπνον,0.500,banquet,dine
שחוק,γέλως,0.500,laughter,laughter
משחק,γέλως,0.500,laughter,laughter
אגף,στρατιώτης,0.500,troop,troop
אגף,στράτευμα,0.500,troop,troop
מגר,ῥίπτω,0.500,hurl,threw down
מגר,ἀκοντίζω,0.500,hurl,hurl
שפוט,κρίσις,0.500,judgment,verdict
שפוט,γνώμη,0.500,judgment,judgement
שאט,καταφρονέω,0.500,scorn,scorn
שאט,ἀτιμάζω,0.500,scorn,scorn
אשכר,φόρος,0.500,tribute,tax
בלו,φόρος,0.500,tribute,tax
עשות,ῥέζω,0.500,wrought,wrought
עשות,τεύχω,0.500,wrought,fashion
ארוז,στερεός,0.500,solid,solid
ארוז,βάθος,0.500,solid,solid
עמם,σύμμαχος,0.500,ally,alliance
עמם,ἐπίκουρος,0.500,ally,mercenary
עפף,διπλάσιος,0.500,double,twice
עפף,διπλόος,0.500,double,twofold
קריאה,κήρυγμα,0.500,proclamation,proclamation
קריאה,κηρύσσω,0.500,proclamation,make proclamation
עיש,λέαινα,0.500,lioness,lioness
לבאה,λέαινα,0.500,lioness,lioness
מכלא,περίβολος,0.500,enclosure,circuit
רפת,περίβολος,0.500,enclosure,circuit
בגדות,προδοσία,0.500,treachery,for treason
בגדות,δόλος,0.500,treachery,deceit
שורר,ἐχθρός,0.500,foe,hateful
שורר,πολέμιος,0.500,foe,foe
דומיה,σιγάω,0.500,silence,keep silent
דומיה,σιγή,0.500,silence,silence
לשן,διαβάλλω,0.500,slander,discredit
לשן,διαβολή,0.500,slander,slander
פלץ,ῥιγέω,0.500,shudder,shudder
פלץ,φρίσσω,0.500,shudder,shudder
שהד,μαρτυρέω,0.500,witness,witness
שהד,μάρτυς,0.500,witness,as witnesses
עלס,ἀπολαύω,0.500,enjoy,enjoy
עלס,χαίρω,0.500,enjoy,pleasure
שכוי,ἀλεκτρυών,0.500,cock,alektryon
שכוי,ἀλέκτωρ,0.500,cock,cock
מדעת,συγγενής,0.500,kinsman,relation
מדע,συγγενής,0.500,kinsman,relation
מהלל,φήμη,0.500,fame,tradition
מהלל,κλέος,0.500,fame,renown
רמכה,ἵππος,0.500,mare,chariot
סוסה,ἵππος,0.500,mare,chariot
חתנה,ἐκδίδωμι,0.500,marriage,surrender
חתנה,γάμος,0.500,marriage,marry
אנס,ἀναγκάζω,0.500,compel,oblige
אנס,ἀνάγκη,0.500,compel,force
אחשתרן,βασιλικός,0.500,royal,kingly
אחשתרן,βασίλειος,0.500,royal,royal palace
מלצר,ἐπίτροπος,0.500,guardian,vicegerent
מלצר,φύλαξ,0.500,guardian,sentinel
יתיר,λίαν,0.500,excessive,excessive
יתיר,ἄγη,0.500,excessive,overmuch
רו,φαντασία,0.500,appearance,appearances presented
רו,ὄψις,0.500,appearance,presence
שק,κνήμη,0.500,leg,shank
שק,σκέλος,0.500,leg,leg
חיוה,ζῷον,0.500,animal,living creature
חיוה,θηρίον,0.500,animal,creature
גדבר,ταμίας,0.500,treasurer,dispenser
גזבר,ταμίας,0.500,treasurer,dispenser
כנת,ἑταῖρος,0.500,companion,friend
הדבר,ἑταῖρος,0.500,companion,friend
עויה,ἀδίκημα,0.500,iniquity,iniquity
עויה,ἀδικία,0.500,iniquity,iniquity
ארגון,πορφύρεος,0.500,purple,purple
ארגון,πορφύρα,0.500,purple,purple garment
כרז,ἀναγορεύω,0.500,proclaim,proclaim
כרז,κηρύσσω,0.500,proclaim,make proclamation
אימתני,σμερδαλέος,0.500,terrible,terrible
אימתני,δεινός,0.500,terrible,danger
סבר,μέλλω,0.500,intend,about
סבר,διανοέομαι,0.500,intend,conceive
מחלף,νόσημα,0.500,disease,pest
מחלף,νόσος,0.500,disease,plague
דכרן,γραμματεῖον,0.500,memorandum,tablet
דכרון,γραμματεῖον,0.500,memorandum,tablet
אשתדור,ἀφίστημι,0.500,revolt,revolted from
אשתדור,ἀπόστασις,0.500,revolt,defection
זהיר,εὐλαβέομαι,0.500,cautious,cautious
זהיר,εὐλαβής,0.500,cautious,cautious
חדת,καινός,0.500,new,new
חדת,νέος,0.500,new,young man
נבואה,θέσφατος,0.500,prophecy,prophecy
נבואה,προφητεία,0.500,prophecy,prophecy
גוף,κλείω,0.500,shut,close up
גוף,ἀποκλείω,0.500,shut,shut
רוח,πνεῦμα,0.333,wind,breath
רוח,ἄνεμος,0.333,wind,wind
רוח,ὅρος,0.333,wind,frontier
רפף,σείω,0.333,shake,shaken by
מעד,σείω,0.333,shake,shaken by
רחף,σείω,0.333,shake,shaken by
יום,ἡμέρα,0.333,day,day
יום,ἦμαρ,0.333,day,day
יום,ἥμερος,0.333,day,tame
בקר,ἠώς,0.333,morning,daybreak
בקר,πρωί,0.333,morning,morning
בקר,ἕωθεν,0.333,morning,at dawn
יבשת,χέρσος,0.333,dry land,dry land
גזרה,χέρσος,0.333,dry land,dry land
יבשה,χέρσος,0.333,dry land,dry land
אילן,δένδρον,0.333,tree,tree
עץ,δένδρον,0.333,tree,tree
תרזה,δένδρον,0.333,tree,tree
אדם,ἀνθρώπειος,0.333,"human, mankind",mutability
אדם,ἀνθρώπινος,0.333,"human, mankind",human
שרת,στρατεύω,0.333,serve,serve
עבד,στρατεύω,0.333,"work, serve",serve
סכן,στρατεύω,0.333,serve,serve
סלק,ἀναβαίνω,0.333,ascend,come forward
עלה,ἀναβαίνω,0.333,ascend,come forward
דלג,ἀναβαίνω,0.333,ascend,come forward
ראש,κράς,0.333,head,head
ראש,κεφαλή,0.333,head,head
ראש,κάρα,0.333,head,head
שמר,φυλάσσω,0.333,keep,preserve
שמר,σώζω,0.333,keep,escape
שמר,τηρέω,0.333,keep,maintain
בשר,κρέας,0.333,flesh,flesh
בשר,σάρξ,0.333,flesh,flesh
בשר,χρώς,0.333,flesh,flesh
תאנה,συκῆ,0.333,fig,fig
תאנה,ἰσχάς,0.333,fig,fig
תאנה,σῦκον,0.333,fig,fig
שמע,ἀκούω,0.333,hear,listen
שמע,πυνθάνομαι,0.333,hear,inform
שמע,κλύω,0.333,hear,hearken
יסף,προσγράφω,0.333,add,add
יסף,προσλαμβάνω,0.333,add,add
יסף,προστίθημι,0.333,add,add
בת,παῖς,0.333,daughter,daughter
בת,θυγάτηρ,0.333,daughter,daughter
בת,κόρη,0.333,daughter,maid
נחם,μετανοέω,0.333,"repent, console",they repented
נחם,μεταμέλει,0.333,"repent, console",regret
נחם,μετάνοια,0.333,"repent, console",repent
חוץ,ἔξωθεν,0.333,outside,external
חוץ,ἔξω,0.333,outside,external
חוץ,ἐκτός,0.333,outside,outside
צפור,οἰωνός,0.333,bird,augury
צפור,ὄρνεον,0.333,bird,bird
צפור,ὄρνις,0.333,bird,bird
כסף,ἀργύριον,0.333,silver,sum
כסף,ἀργύρεος,0.333,silver,pure silver
כסף,ἄργυρος,0.333,silver,silver
צפון,βορέας,0.333,north,boreas
צפון,βόρειος,0.333,north,north
צפון,ἄρκτος,0.333,north,north
מלך,ἄναξ,0.333,king,master
מלך,βασιλεύω,0.333,king,king
מלך,βασιλεύς,0.333,king,king
מדבר,ἐρῆμος,0.333,desert,empty
מדבר,ἐρημία,0.333,desert,isolation
מדבר,αὐτομολέω,0.333,desert,desert
חשב,ἕνεκα,0.333,account,because
חשב,λόγος,0.333,account,reason
חשב,διά,0.333,account,account
שיבה,τηλικοῦτος,0.333,<uncertain>,age
שיבה,ἡλικία,0.333,<uncertain>,youth
שיבה,γῆρας,0.333,<uncertain>,age
קיטור,καπνός,0.333,smoke,smoke
עשן,καπνός,0.333,smoke,smoke
קטר,καπνός,0.333,smoke,smoke
נור,πῦρ,0.333,fire,fire
אשא,πῦρ,0.333,fire,fire
אש,πῦρ,0.333,fire,fire
נכר,ξένος,0.333,foreigner,guest
נכר,βάρβαρος,0.333,foreigner,foreign
נכר,ἀλλόφυλος,0.333,foreigner,foreigner
תקיף,κρατερός,0.333,mighty,strong
עצום,κρατερός,0.333,mighty,strong
אדיר,κρατερός,0.333,mighty,strong
עורת,ἄτη,0.333,blindness,ruin
סנורים,ἄτη,0.333,blindness,ruin
עורון,ἄτη,0.333,blindness,ruin
קרוב,σχεδόν,0.333,near,near
קרוב,ἐγγύς,0.333,near,kin
קרוב,πλησίος,0.333,near,neighbors
מדחה,καταλύω,0.333,overthrow,dissolve
הפכה,καταλύω,0.333,overthrow,dissolve
מהפכה,καταλύω,0.333,overthrow,dissolve
מערה,ἄντρον,0.333,cave,grotto
מערה,σπήλαιον,0.333,cave,grotto
מערה,σπέος,0.333,cave,cave
אמנה,μέντοι,0.333,indeed,indeed
אמנה,δῆτα,0.333,indeed,indeed
אמנה,μάλα,0.333,indeed,indeed
בכה,κλαίω,0.333,weep,bewail
בכה,δακρύω,0.333,weep,shed tears
בכה,δάκρυον,0.333,weep,weep
נסה,ἐπιχειρέω,0.333,try,attack
נסה,πειράζω,0.333,try,endeavor
נסה,πειράω,0.333,try,experience
תער,μάχαιρα,0.333,knife,sabre
שכין,μάχαιρα,0.333,knife,sabre
מאכלת,μάχαιρα,0.333,knife,sabre
שר,ψέλιον,0.333,bracelet,bracelet
צמיד,ψέλιον,0.333,bracelet,bracelet
אצעדה,ψέλιον,0.333,bracelet,bracelet
שער,θρίξ,0.333,hair,hair
שער,κόμη,0.333,hair,lock
שער,χαίτη,0.333,hair,hair
מכר,ἀποδίδωμι,0.333,sell,return
מכר,πιπράσκω,0.333,sell,had sold
מכר,πωλέω,0.333,sell,for sale
עדר,μῆλον,0.333,flock,melos
עדר,πρόβατον,0.333,flock,cattle
עדר,ποίμνη,0.333,flock,flock
גד,οὐσία,0.333,fortune,wealth
גד,τύχη,0.333,fortune,misfortune
גד,δαίμων,0.333,fortune,fortune
יגיע,πονέω,0.333,toil,labour
יגיע,μόχθος,0.333,toil,toil
יגיע,πόνος,0.333,toil,exercise
עול,τροφός,0.333,nurse,nurse
עול,τρέφω,0.333,nurse,nurse
עול,μαῖον,0.333,nurse,nurse
אט,πρᾶος,0.333,gentle,gent
אט,ἀγανός,0.333,gentle,gentle
אט,μειλίχιος,0.333,gentle,gentle
מצבת,σηκός,0.333,stump,pen
קצפה,σηκός,0.333,stump,pen
גזע,σηκός,0.333,stump,pen
מפל,ἐθέλω,0.333,refuse,ready
מאן,ἐθέλω,0.333,refuse,ready
סחי,ἐθέλω,0.333,refuse,ready
מעה,σῖτος,0.333,grain,meat
בר,σῖτος,0.333,grain,meat
שבלת,σῖτος,0.333,grain,meat
צורנים,ὅρμος,0.333,necklace,anchorage
רביד,ὅρμος,0.333,necklace,anchorage
המניך,ὅρμος,0.333,necklace,anchorage
צרור,θύλακος,0.333,bag,bag
ילקוט,θύλακος,0.333,bag,bag
כיס,θύλακος,0.333,bag,bag
תבואה,εἴκω,0.333,yield,yield
תבואה,ἐνδίδωμι,0.333,yield,yield
תבואה,παραχωρέω,0.333,yield,yield
רצון,ἡδονή,0.333,pleasure,joy
רצון,ἡδύς,0.333,pleasure,should like
רצון,χαίρω,0.333,pleasure,pleasure
חוף,θίς,0.333,shore,shore
חוף,ἀκτή,0.333,shore,headland
חוף,αἰγιαλός,0.333,shore,shore
שקק,ὁρμάω,0.333,rush,start
סוף,ὁρμάω,0.333,rush,start
אגמון,ὁρμάω,0.333,rush,start
מרץ,βλάπτω,0.333,hurt,injury
נגף,βλάπτω,0.333,hurt,injury
מאר,βλάπτω,0.333,hurt,injury
אבד,διαφθείρω,0.333,perish,ruin
אבד,ἀπόλλυμι,0.333,perish,die
אבד,ὄλλυμι,0.333,perish,ruin
מחצה,ἥμισυς,0.333,half,one - half
חצי,ἥμισυς,0.333,half,one - half
מחצית,ἥμισυς,0.333,half,one - half
חפשי,ἐλευθερόω,0.333,free,free
חפשי,ἐλεύθερος,0.333,free,liberty
חפשי,λύω,0.333,free,free
יעד,τάσσω,0.333,appoint,assign
יעד,καθίστημι,0.333,appoint,appoint
יעד,ἀποδείκνυμι,0.333,appoint,show
ענש,ζημιόω,0.333,fine,fine
ענש,ζημία,0.333,fine,punishment
ענש,καλός,0.333,fine,proper
טפח,σπιθαμή,0.333,span,span
טפחה,σπιθαμή,0.333,span,span
זרת,σπιθαμή,0.333,span,span
כרכב,ἄντυξ,0.333,rim,rim
כרכב,χεῖλος,0.333,rim,rim
כרכב,ἴτυς,0.333,rim,rim
מערכת,ἐλαύνω,0.333,row,march
טור,ἐλαύνω,0.333,row,march
מערכה,ἐλαύνω,0.333,row,march
כליל,ὅλος,0.333,entire,general
כליל,παντελής,0.333,entire,entire
כליל,παντάπασι,0.333,entire,entire
עשיר,πλουτέω,0.333,rich,being wealthy
עשיר,πλούσιος,0.333,rich,rich men
עשיר,εὔπορος,0.333,rich,rich
סלח,ἀφίημι,0.333,forgive,leave
סלח,συγγνώμη,0.333,forgive,forgive
סלח,συγγιγνώσκω,0.333,forgive,pardon
מרק,εὔξοος,0.333,polish,polish
מרק,ξεστός,0.333,polish,drew up polished
מרק,εὔξεστος,0.333,polish,polish
תחמס,γλαύξ,0.333,owl,owl
ינשוף,γλαύξ,0.333,owl,owl
תנשמת,γλαύξ,0.333,owl,owl
חפשה,παρρησία,0.333,freedom,freedom
חפשה,ἐλευθερία,0.333,freedom,liberty
חפשה,ἐλεύθερος,0.333,freedom,liberty
מנוסה,φεύγω,0.333,flight,fly
מנוסה,φυγή,0.333,flight,exile
מנוסה,τρέπω,0.333,flight,flight
קנאה,ζηλοτυπία,0.333,jealousy,jealousy
קנאה,φθόνος,0.333,jealousy,jealous
קנאה,ζῆλος,0.333,jealousy,jealousy
נוא,ἀπαγορεύω,0.333,forbid,forbade
נוא,ἀπεῖπον,0.333,forbid,forbid
נוא,κωλύω,0.333,forbid,stop
נקמה,τιμωρία,0.333,vengeance,punish
נקמה,τίνω,0.333,vengeance,pay
נקמה,ἀμύνω,0.333,vengeance,vengeance
מסר,τάσσω,0.333,assign,assign
מסר,ἀποδίδωμι,0.333,assign,return
מסר,προστάσσω,0.333,assign,direct
חנך,ἀνάκειμαι,0.333,dedicate,dedicate
חנך,ἀνατίθημι,0.333,dedicate,dedicated by
חנך,ἀνάθημα,0.333,dedicate,dedication
משאה,δανείζω,0.333,lifting up,lent money
משאה,δάνεισμα,0.333,lifting up,loan
משאה,δάνειον,0.333,lifting up,loan
חפף,στέγη,0.333,shelter,shelter
מסתור,στέγη,0.333,shelter,shelter
טלל,στέγη,0.333,shelter,shelter
גדיה,χῶμα,0.333,bank,mole
גדיה,ὄχθη,0.333,bank,bluff
גדיה,τράπεζα,0.333,bank,bank
נפה,ζυγός,0.333,yoke,balance
נפה,ζεύγνυμι,0.333,yoke,yoke
נפה,ζεῦγος,0.333,yoke,yoke
פטיש,σφῦρα,0.333,hammer,hammer
הלמות,σφῦρα,0.333,hammer,hammer
מקבת,σφῦρα,0.333,hammer,hammer
חנית,δόρυ,0.333,spear,spear
חנית,λόγχη,0.333,spear,spear
חנית,ἔγχος,0.333,spear,spear
נצח,κῦδος,0.333,glory,win glory
נצח,δόξα,0.333,glory,renown
נצח,κλέος,0.333,glory,renown
כרר,ὀρχέομαι,0.333,dance,dance
כרר,χορός,0.333,dance,dance
כרר,χορεύω,0.333,dance,dance
חיצון,ἔξω,0.333,external,external
חיצון,ἔξωθεν,0.333,external,external
חיצון,ἐκτός,0.333,external,outside
קו,τάξις,0.333,line,company
קו,φάλαγξ,0.333,line,line
קו,γραμμή,0.333,line,line
רמס,πατέω,0.333,trample,trample
לבט,πατέω,0.333,trample,trample
מדשה,πατέω,0.333,trample,trample
לדה,γένεσις,0.333,birth,birth
לדה,τίκτω,0.333,birth,birth
לדה,γένος,0.333,birth,nation
צמה,καταπέτασμα,0.333,veil,veil
חביון,καταπέτασμα,0.333,veil,veil
רעלה,καταπέτασμα,0.333,veil,veil
