nt_book,nt_chap,nt_verse,lxx_chap,lxx_verse,votes,nt_v6_ref,lxx_v6_ref
Heb,13,6,113,13,85,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.113.13
Heb,13,6,113,14,85,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.113.14
Heb,13,6,113,15,85,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.113.15
Heb,13,6,113,16,85,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.113.16
Heb,13,6,113,17,85,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.113.17
Heb,13,6,113,18,85,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.113.18
Heb,13,6,113,19,85,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.113.19
Heb,13,6,113,20,85,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.113.20
Heb,13,6,113,21,85,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.113.21
Heb,13,6,113,22,85,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.113.22
Heb,13,6,113,23,85,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.113.23
Heb,13,6,113,24,85,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.113.24
Heb,13,6,113,25,85,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.113.25
Heb,13,6,113,26,85,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.113.26
Heb,11,1,26,13,80,novum_testamentum.ad_hebraeos.11.1,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.26.13
Heb,13,6,145,3,79,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.145.3
Heb,13,5,36,25,76,novum_testamentum.ad_hebraeos.13.5,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.36.25
Heb,1,5,2,7,70,novum_testamentum.ad_hebraeos.1.5,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.2.7
Heb,13,6,17,1,68,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.17.1
Heb,13,6,17,2,68,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.17.2
Heb,11,6,118,10,66,novum_testamentum.ad_hebraeos.11.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.118.10
Heb,13,8,89,2,61,novum_testamentum.ad_hebraeos.13.8,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.89.2
Heb,13,8,101,27,61,novum_testamentum.ad_hebraeos.13.8,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.101.27
Heb,13,8,101,28,61,novum_testamentum.ad_hebraeos.13.8,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.101.28
Heb,10,36,36,7,56,novum_testamentum.ad_hebraeos.10.36,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.36.7
Heb,10,7,39,7,55,novum_testamentum.ad_hebraeos.10.7,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.39.7
Heb,10,7,39,8,55,novum_testamentum.ad_hebraeos.10.7,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.39.8
Heb,11,1,41,11,55,novum_testamentum.ad_hebraeos.11.1,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.41.11
Heb,3,7,80,13,54,novum_testamentum.ad_hebraeos.3.7,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.80.13
Heb,4,12,149,6,51,novum_testamentum.ad_hebraeos.4.12,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.149.6
Heb,1,7,103,4,46,novum_testamentum.ad_hebraeos.1.7,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.103.4
Heb,1,10,101,25,45,novum_testamentum.ad_hebraeos.1.10,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.101.25
Heb,1,10,101,26,45,novum_testamentum.ad_hebraeos.1.10,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.101.26
Heb,1,10,101,27,45,novum_testamentum.ad_hebraeos.1.10,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.101.27
Heb,10,5,39,6,45,novum_testamentum.ad_hebraeos.10.5,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.39.6
Heb,10,5,39,7,45,novum_testamentum.ad_hebraeos.10.5,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.39.7
Heb,10,5,39,8,45,novum_testamentum.ad_hebraeos.10.5,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.39.8
Heb,13,5,36,28,45,novum_testamentum.ad_hebraeos.13.5,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.36.28
Heb,13,8,102,17,44,novum_testamentum.ad_hebraeos.13.8,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.102.17
Heb,11,6,72,28,42,novum_testamentum.ad_hebraeos.11.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.72.28
Heb,2,6,8,4,41,novum_testamentum.ad_hebraeos.2.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.8.4
Heb,2,6,8,5,41,novum_testamentum.ad_hebraeos.2.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.8.5
Heb,2,6,8,6,41,novum_testamentum.ad_hebraeos.2.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.8.6
Heb,2,6,8,7,41,novum_testamentum.ad_hebraeos.2.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.8.7
Heb,2,6,8,8,41,novum_testamentum.ad_hebraeos.2.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.8.8
Heb,4,13,32,13,41,novum_testamentum.ad_hebraeos.4.13,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.32.13
Heb,4,13,32,14,41,novum_testamentum.ad_hebraeos.4.13,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.32.14
