אונ,αδικια
אונ,ανομια
אונ,βαιθων
אונ,πονοσ
אונמ,οζομ
אוננ,αυναν
אועד,γνωσθησομαι
אופיר,σουφιρ
אופן,τροχος
אוץ,κελευω
אוץ,παραινεω
אוץ,παρακαλεω
אוצר,επιτηδειος
אוצר,θησαυροσ
אוצר,παρεχω
אוצרות,θησαυροσ
אוצרת,θησαυροσ
אור,φωσ
אור,φωτισμοσ
אור,χαλδαιοσ
אור,χωρα
אורי,ουρι
אורי,ουριασ
אוריאל,ουριηλ
אוריה,ουρια
אוריה,ουριαν
אוריה,ουριασ
אוריהו,ουρια
אושע,σωζω
אות,επιθυμια
אות,σημα
אות,σημειον
אותר,υπολελειμμαι
אותת,σημειον
אז,αρχη
אזדא,αφιστημι
אזה,εξεκαυθη
אזוב,υσσωποσ
אזי,αρα
אזכיר,μιμνησκω
אזכר,μιμνησκω
אזכרה,μιμνησκω
אזל,απειμι
אזל,απερχομαι
אזמר,ψαλλω
אזמרה,ψαλλω
אזן,ακουω
אזן,ακροαομαι
אזנ,ουσ
אזנ,ωτιον
אזר,ενδυω
אזר,περιτιθημι
אזרח,επιχωριος
אזרח,πατρις
אח,αδελφος
אח,αδελφοσ
אח,κασιγνητος
אח,υιοσ
אחאב,αχααβ
אחבא,κρυπτω
אחד,αλλοσ
אחד,εικοσι
אחד,εικοστοσ
אחד,εις
אחד,εκαστος
אחד,ενδεκα
אחד,ετερος
אחד,ετεροσ
אחד,νουμηνια
אחד,ουδεισ
אחד,ουθεισ
אחד,τις
אחד,ωσει
אחו,αχοσ
אחו,δοναξ
אחו,καλαμος
אחור,εσχατοσ
אחור,οπισω
אחות,αδελφη
אחות,κασιγνητη
אחז,αχαζ
אחז,κατεχω
אחזה,κατασχεσισ
אחזיהו,οχοζιασ
אחזת,κατασχεσισ
אחזת,κταομαι
אחזת,κτη
אחזת,οχοζαθ
אחטוב,αχιτωβ
אחי,αδελφοσ
אחי,αλληλων
אחידה,αινιγμα
אחידה,αινισσομαι
אחיה,αδελφοσ
אחיה,αχια
אחיה,αχιασ
אחיה,ζησομαι
אחיו,αδελφοσ
אחיטוב,αχιτωβ
אחילוד,αχιλιδ
אחימ,αδελφοσ
אחימלכ,αβιμελεχ
אחימלכ,αχιμελεχ
אחימעצ,αχιμαασ
אחינעמ,αχινααμ
אחינעמ,αχινοομ
אחיסמכ,αχισαμακ
