# Tesserae V6 Hebrew-Latin Cross-Lingual Dictionary
# Built by bridging hebrew_greek.csv (He->Grc, CATSS-derived) through
# greek_latin + perseus_greek_latin (Grc->La). Format: hebrew,latin (one pair/line).
# Purpose: Hebrew Bible <-> Latin Vulgate (and wider Latin corpus) cross-lingual search.
אויה,uae
אויה,clades
אויה,damnum
אויה,malum
אויל,stultus
אוכל,possum
אוכל,valeo
אוכל,potestas
אוכל,uis
אוכל,uirtus
אוכל,imperium
אוכל,edo
אוכל,comedo
אוכל,vescor
אוכל,manduco
אולי,par
אולי,aequo
אולי,numquam
אולי,umquam
אולי,iubeo
אולי,ordo
אולי,impero
אולי,fortasse
אולי,mox
אולי,fors
אולי,cieo
אונ,iniquitas
אונ,labor
אונ,aerumna
אונ,dolor
אונ,laboro
אוץ,iubeo
אוץ,impero
אוץ,mando
אוץ,ordo
אוץ,praecipio
אוץ,imperium
אוץ,praesum
אוץ,consilium
אוץ,commendo
אוץ,hortor
אוץ,uolo
אוץ,oro
אוץ,obsecro
אוץ,rogo
אוץ,peto
אוצר,commeatus
אוצר,aerarius
אוצר,profero
אוצר,gigno
אוצר,produco
אוצר,copia
אוצרות,aerarius
אוצרת,aerarius
אור,vir
אור,homo
אור,mortalis
אור,regio
אור,terra
אור,locus
אור,ager
אושע,servo
אושע,conservo
אושע,tueor
אושע,saluus
אושע,salus
אושע,libero
אושע,retineo
אות,cupido
אות,libido
אות,desiderium
אות,uolo
אות,cupio
אות,signum
אות,testimonium
אות,argumentum
אותת,signum
אותת,testimonium
אותת,argumentum
אז,imperium
אז,principium
אז,initium
אז,magistratus
אז,regnum
אז,honor
אז,ratio
אז,officium
אז,potestas
אז,uis
אזדא,defectio
אזדא,deficio
אזי,ergo
אזי,igitur
אזי,maledictio
אזכיר,moneo
אזכיר,memoro
אזכיר,memini
אזכיר,recordor
אזכיר,memor
אזכיר,memoria
אזכיר,mentio
אזכיר,commemoro
אזכיר,reuoco
אזכר,moneo
אזכר,memoro
אזכר,memini
אזכר,recordor
אזכר,memor
אזכר,memoria
אזכר,mentio
אזכר,commemoro
אזכר,reuoco
אזכרה,moneo
אזכרה,memoro
אזכרה,memini
אזכרה,recordor
אזכרה,memor
אזכרה,memoria
אזכרה,mentio
אזכרה,commemoro
אזכרה,reuoco
אזל,discedo
אזל,recedo
אזל,abeo
אזן,audio
אזן,exaudio
אזן,ausculto
אזנ,auris
אזר,induo
אח,frater
אח,germanus
אח,filius
אח,natus
אח,gnatus
אח,progenies
אח,proles
אחבא,celo
אחבא,abscondo
אחבא,occulo
אחד,reliquus
אחד,ceterus
אחד,alter
אחד,alienus
אחד,uicesimus
אחד,unus
אחד,quisquam
אחד,complures
אחד,aliter
אחד,ullus
אחד,nullus
אחד,aliquis
אחד,homo
אחד,quidam
אחד,uir
אחד,certus
אחד,qui
אחד,iste
אחו,dolor
אחו,maeror
אחו,luctus
אחו,harundo
אחור,extremus
אחור,ultimus
אחור,nouissimus
אחור,denique
אחור,tergum
אחות,soror
אחות,germana
אחז,retineo
אחז,possessio
אחזת,paro
אחזת,acquiro
אחזת,possideo
אחזת,possessio
אחי,frater
אחי,germanus
אחי,alius
אחי,alter
אחי,mutuus
אחיה,frater
אחיה,germanus
אחיו,frater
אחיו,germanus
אחימ,frater
אחימ,germanus
אחרונ,extremus
אחרונ,ultimus
אחרונ,nouissimus
אחרונ,denique
אחרונ,unus
אחרונ,alienus
אחרונ,aliter
אחרונ,quisquam
אחרונה,extremus
אחרונה,ultimus
אחרונה,nouissimus
אחרונה,denique
אחרות,unus
אחרות,alienus
אחרות,aliter
אחרות,quisquam
אחרי,reliquus
אחרי,ceterus
אחרי,alter
אחרי,alienus
אחרי,extremus
אחרי,ultimus
אחרי,nouissimus
אחרי,denique
אחרי,unus
אחרי,aliter
אחרי,quisquam
אחרי,tergum
אחרימ,exter
אחרימ,externus
אחרימ,unus
אחרימ,alienus
אחרימ,aliter
אחרימ,quisquam
אחרין,nouissimus
אחרין,denique
אחרין,extremus
אחרין,proximus
אחרין,tandem
אחרית,extremus
אחרית,ultimus
אחרית,nouissimus
אחרית,denique
אחרן,alius
אחרן,alter
אחרן,mutuus
אחרן,reliquus
אחרן,ceterus
אחרן,alienus
אחרן,unus
אחרן,aliter
אחרן,quisquam
אחרנ,unus
אחרנ,alienus
אחרנ,aliter
אחרנ,quisquam
אחרנה,extremus
אחרנה,ultimus
אחרנה,nouissimus
אחרנה,denique
אחרנימ,extremus
אחרנימ,ultimus
אחרנימ,nouissimus
אחרנימ,denique
אחרת,unus
אחרת,alienus
אחרת,aliter
אחרת,quisquam
אחשדרפני,consul
אחשתרן,palatium
אחת,soror
אחת,germana
אחת,unus
אחת,alienus
אחת,aliter
אחת,quisquam
אחת,tempus
אחת,occasio
אחת,facultas
אחת,potestas
אחת,primus
אי,insula
אי,unde
אי,credo
אי,certus
אי,puto
איב,hostis
איב,inimicus
איב,infestus
איבה,inimicitia
איבה,odium
איבי,hostis
איבי,inimicus
איבי,infestus
איד,calamitas
איד,clades
איה,terra
איה,tellus
איה,solum
איה,ager
איה,credo
איה,certus
איה,puto
איימ,gens
איימ,natio
איימ,populus
איימ,prouincia
איימ,tribus
איימ,insula
איל,aries
איל,cervus
איל,cerva
איל,ceruinus
איל,tyrannus
אילות,imperium
אילות,principium
אילות,initium
אילות,magistratus
אילות,regnum
אילות,honor
אילות,ratio
אילות,officium
אילות,potestas
אילות,uis
אילות,possum
אילות,valeo
אילות,uirtus
אילות,exercitus
אילות,copia
אילות,potentia
אילות,cogo
אילות,opis
אילות,robur
אילות,fortitudo
אילות,cervus
אילות,cerva
אילות,ceruinus
אילות,auctoritas
אילות,licentia
אילן,arbor
אילן,lignum
אילנ,arbor
אילנ,lignum
אימה,metus
אימה,pavor
אימה,terror
אימה,timor
אימה,formido
אימה,metuo
אימתני,terribilis
אימתני,dirus
אימתני,atrox
אימתני,formidabilis
אימתני,saevus
אימתני,periculum
אימתני,metuo
אימתני,immanis
אינ,invenio
אינ,reperio
אינ,habeo
אינ,teneo
אינ,possideo
אינ,ullus
אינ,nullus
אינ,quisquam
אינ,aliquis
אינ,ulter
אינ,unde
איפה,credo
איפה,certus
איפה,puto
אירא,timeo
אירא,metuo
איש,alius
איש,alter
איש,mutuus
איש,heros
איש,vir
איש,maritus
איש,populus
איש,qui
איש,humanus
איש,iste
איש,orbis
איש,plebs
איש,mundum
איש,masculus
איש,masculinus
איש,unus
איש,complures
איש,alienus
איש,aliter
איש,quisquam
איש,habeo
איש,teneo
איש,possideo
איש,nemo
איש,ullus
איש,nullus
איש,aliquis
איש,totus
איש,uniuersus
איש,cunctus
איש,homo
איש,quidam
איש,uir
איש,certus
אישונ,mulier
אישימ,populus
אישימ,qui
אישימ,humanus
אישימ,iste
אישימ,orbis
אישימ,plebs
אישימ,mundum
איתי,habeo
איתי,teneo
איתי,possideo
איתי,bonus
איתי,fortuna
איתי,praedium
אכ,ergo
אכ,igitur
אכ,maledictio
אכ,solus
אכ,unus
אכבד,sententia
אכבד,glorifico
אכבדה,sententia
אכבדה,glorifico
אכול,edo
אכול,comedo
אכול,vescor
אכול,manduco
אכזר,crudelis
אכזר,durus
אכזר,infelix
אכזרי,crudelis
אכזרי,durus
אכזרי,infelix
אכזריות,crudelitas
אכל,edo
אכל,comedo
אכל,vescor
אכל,manduco
אכל,deuoro
אכל,cibus
אכל,uesco
אכל,compes
אכל,ergo
אכל,hinc
אכל,igitur
אכל,propterea
אכל,ideo
אכלה,edo
אכלה,comedo
אכלה,vescor
אכלה,manduco
אכלה,deuoro
אכלו,edo
אכלו,comedo
אכלו,vescor
אכלו,manduco
אכלי,edo
אכלי,comedo
אכלי,vescor
אכלי,manduco
אכלי,deuoro
אכלימ,edo
אכלימ,comedo
אכלימ,vescor
אכלימ,manduco
אכלת,edo
אכלת,comedo
אכלת,vescor
אכלת,manduco
אכלת,deuoro
אכלת,uesco
אכלת,compes
אכלתי,edo
אכלתי,comedo
אכלתי,vescor
אכלתי,manduco
אכלתמ,edo
אכלתמ,comedo
אכלתמ,vescor
אכלתמ,manduco
אכר,publicanus
אלה,mare
אלה,sal
אלה,pontus
אלה,aequor
אלה,sale
אלה,ergo
אלה,igitur
אלה,maledictio
אלה,dominus
אלה,erus
אלה,erilis
אלה,magister
אלה,quercus
אלה,robur
אלה,umbra
אלה,imago
אלה,simulacrum
אלה,effigies
אלה,idolum
אלה,pello
אלה,ago
אלה,fugo
אלה,impello
אלה,dea
אלה,hercules
אלה,auctoritas
אלהי,umbra
אלהי,imago
אלהי,simulacrum
אלהי,effigies
אלהי,idolum
אלהי,dea
אלהי,hercules
אלהי,dominus
אלהי,auctoritas
אלהי,erus
אלהים,deus
אלהים,genius
אלהים,ingenium
אלהים,fortuna
אלהים,spiritus
אלהים,animus
אלהים,divinus
אלהים,divus
אלהים,dea
אלהים,hercules
אלהימ,nuntius
אלהימ,legatus
אלהימ,dea
אלהימ,hercules
אלהימ,dominus
אלהימ,auctoritas
אלהימ,erus
אלהינ,dea
אלהינ,hercules
אלוה,deus
אלוה,genius
אלוה,ingenium
אלוה,fortuna
אלוה,spiritus
אלוה,animus
אלוה,divinus
אלוה,divus
אלוה,dea
אלוה,hercules
אלונ,reliquus
אלונ,ceterus
אלונ,alter
אלונ,alienus
אלוף,praesertim
אלוף,princeps
אלוף,magnus
אלוף,dux
אלוף,praecipuus
אלוף,maximus
אלופ,dux
אלופ,imperator
אלופ,rector
אלופ,miles
אלופ,princeps
אלופי,dux
אלופי,imperator
אלופי,rector
אלופי,miles
אלופי,princeps
אליהו,sol
אליהו,phoebus
אליל,deus
אליל,genius
אליל,ingenium
אליל,fortuna
אליל,spiritus
אליל,animus
אליל,divinus
אליל,divus
אליל,dea
אליל,hercules
אלימ,dea
אלימ,hercules
אלכ,heros
אלכ,vir
אלכ,maritus
אלכ,abeo
אלכ,discedo
אלכה,abeo
אלכה,discedo
אלמד,doceo
אלמד,ostendo
אלמד,certus
אלמני,hospes
אלמני,peregrinus
אלמני,advena
אלמני,exter
אלמני,externus
אלני,quercus
אלני,robur
אלף,mille
אלף,innumerabilis
אלף,centum
אלפ,mille
אלפ,centum
אלפי,mille
אלפימ,tribunus
אלפימ,mille
אלפינ,mille
אם,mater
אם,genetrix
אם,parens
אמ,aurora
אמ,mane
אמ,usque
אמ,dum
אמ,quoad
אמ,mensis
אמ,mater
אמ,genetrix
אמ,parens
אמ,dimidius
אמ,quotiens
אמה,centum
אמה,cubitus
אמה,tribus
אמה,gens
אמון,fidelis
אמון,fides
אמון,hercules
אמונה,etenim
אמונה,uerus
אמונה,hercules
אמונה,edepol
אמונה,pol
אמונה,pignus
אמונה,fidelitas
אמונת,etenim
אמונת,uerus
אמונת,hercules
אמות,morior
אמות,pereo
אמות,occido
אמות,cado
אמות,mors
אמות,interfacio
אמות,occaedes
אמות,obeo
אמות,percutio
אמות,cubitus
אמי,tribus
אמי,gens
אמי,regio
אמי,terra
אמי,locus
אמי,ager
אמימ,gens
אמימ,natio
אמימ,populus
אמימ,prouincia
אמימ,tribus
אמימ,plebs
אמימ,vulgus
אמימ,turba
אמימ,exercitus
אמינ,cubitus
אמיר,ramus
אמלט,servo
אמלט,conservo
אמלט,tueor
אמלט,saluus
אמלט,salus
אמלט,libero
אמלט,retineo
אמללה,lugeo
אמללה,maereo
אמנ,fio
אמנ,nascor
אמנ,orior
אמנ,gigno
אמנ,hercules
אמנ,edepol
אמנ,pol
אמנ,pignus
אמנ,fidelitas
אמנה,quidem
אמנה,plenus
אמנה,tamen
אמצא,invenio
אמצא,reperio
אמר,rescribo
אמר,exaudio
אמר,aio
אמר,dico
אמר,inquam
אמר,loquor
אמר,respondeo
אמר,quaero
אמר,peto
אמר,interrogo
אמר,postulo
אמר,iubeo
אמר,praecipio
אמר,ordo
אמר,imperium
אמר,sermo
אמרה,dico
אמרה,loquor
אמרה,aio
אמרו,quaero
אמרו,peto
אמרו,interrogo
אמרו,postulo
אמרו,dico
אמרו,loquor
אמרו,aio
אמרי,dico
אמרי,loquor
אמרי,aio
אמרי,sermo
אמרימ,dico
אמרימ,loquor
אמרימ,aio
אמרינ,dico
אמרינ,loquor
אמרינ,aio
אמרת,aio
